"komnr","year","kommunenavn","bef","bef0_19","bef1_5","bef6_12","bef13_15","bef67_79","bef80_89","bef90_","kommunaleveierkm","psyk_17","psyk18_66","knavn","andel_k_bh","barn_k_bh","barn_k_bh_pi","andel_tettbygd","VoteShareLEFT","ENoP","ntodrres","ntodr","n_driftres","u_adm","u_gs","u_utd","u_bh","u_hs","u_sos","u_bv","u_plo","u_kul","u_kv","u_var","u_inf","u_ann","bef_0_5","bef_6_15","bef_16_66","bef_67_79","bef_80_89","bef_90_","skilte_16_59","arbledig_16_59","dod","ikke_gifte_67_","pu_o16","driftsenheter","areal_total","landbrukseiendom","bef_16_22","bef_23_66","sone_snitt","innv_6_15","barn_enslig","fattige","ufor_18_49","flyktninger","opphopning","innb_hoyere_utd","bef_0_1","bef_2_5","barn_u_ks","vertskom_ant","rens_sum","rensekap","int_til","aleneboende","snomengde","snodager","rkb_utg","rkb_ant","rkb_utg_selv","frie","frie_tot","y"
105,2015,"Sarpsborg",54192,13167,3145,4559,2062,5998,1998,459,319,308,1085,"Sarpsborg",26,705,0.013009300455451,0.906000912189484,0.506977558135986,3.23817873001099,1.20000004768372,46402,0.856251835823059,2.87638396811337,11.0092633599055,0.492102155299675,7.45833333333333,2.26775169766755,3.50230661352229,2.26658916445232,17.3699439031591,1.80152051963389,0.51313847062297,2.0637732506643,3.90559492175967,8.77612931798051,3654,6687,35543,6161,1982,437,3990,1008,375,3872,238,276,404.98,737,4847,30696,148930.336,529,1759,2756,1495,2852,3.77435097,9255,1116,2538,280.17,0,31002,32660.555,38468000,4709,105.9,21.3,167415,83,77692,73815,2769575,56.3829531939571
105,2016,"Sarpsborg",54678,13175,3035,4647,2086,6259,1982,443,316,316,1020,"Sarpsborg",26.3999996185303,719,0.0131497131660581,0.9068363904953,0.532719790935516,3.18244457244873,3.20000004768372,126028,2.30491232872009,2.9988660887377,11.2224843629979,0.603844324957021,7.5664618310838,2.25017374446761,3.47521855225136,2.61293390394674,18.6643073996854,2.17200702293427,0.522129558506163,1.9600936391236,4.19698964848751,9.45506419400856,3617,6718,35820,6351,2030,443,4032,857,365,3957,232,276,404.98,738,4873,30947,159722.744,546,1698,2888,1541,2984,3.33789978,9673,1157,2460,364.08333337,0,27527,32660.555,66707200,4439,76.5,18.8,162814,76,74882,151011,2947994,60.5504224058992
105,2017,"Sarpsborg",55127,13227,3043,4666,2113,6437,2037,454,316,322,1072,"Sarpsborg",28.2999992370605,789,0.0143124060705304,0.907105386257172,0.532719790935516,3.18244457244873,2.40000009536743,99043,1.79663324356079,3.26714677018521,11.5699929254267,0.651876575906543,7.61614091098736,2.39996734812342,3.62337874362835,3.0318899994558,19.8888385001905,1.79171730730858,0.514920093602046,2.40974477116476,4.21606472327535,9.58432347125728,3607,6755,35973,6494,2059,441,3948,791,477,4048,239,268,405.61,741,4861,31112,150647.84266667,565,1629,2981,1568,3080,3.06328134,9982,1184,2423,357.58333333,0,42502,32660.555,83077500,4497,147.1,27.4,170869,76,77009,119409,3067594,62.7783119128154
105,2018,"Sarpsborg",55543,13218,3070,4747,2012,6562,2086,444,315,328,955,"Sarpsborg",27.7999992370605,773,0.013917145319283,0.909061431884766,0.532719790935516,3.18244457244873,1.5,63989,1.15206241607666,3.55342707451884,12.2334407576112,0.689627855895432,7.85287074878923,2.61055398520066,4.07061195830258,2.52435050321373,21.3888158723872,2.00815584322057,0.527753272239526,2.61741353545901,4.49174513440037,10.3346956412149,3585,6767,36280,6646,2093,470,3819,714,469,4146,246,264,405.61,736,4893,31387,142341.625,560,1570,2825,1630,3150,2.49693741,10297,1132,2453,400.19,0,41444,32660.555,71390250,4529,206.5,31.4,195003.054978961,77,97213.0549789607,92836,3182902,65.720828957315
106,2014,"Fredrikstad",77591,18583,4365,6418,2954,8079,2954,624,464,415,1344,"Fredrikstad",34.0999984741211,1327,0.0171024985611439,0.913000047206879,0.528159260749817,3.26248550415039,2.59999990463257,140951,1.81658959388733,3.10520550063796,10.6076477942029,0.533541261228751,6.85901715405137,2.35141962340993,3.19038290523385,2.08772924694874,17.9023598097718,2.44878916369167,0.558389503937312,2.30899202227062,3.33431712440876,9.18402907553711,5126,9320,51519,8342,2913,632,5626,1555,528,5293,243,232,286.72,785,7145,44374,152435.669,602,2212,3605,1814,3697,5.23856928,15941,1577,3549,473.19,0,52377,47628.668,39261300,6735,78.6,18.6,364307,188,168223,105402,3737665,57.104380703681
106,2015,"Fredrikstad",78159,18622,4380,6456,2891,8562,2902,632,462,431,1313,"Fredrikstad",34.0999984741211,1315,0.0168246775865555,0.924858272075653,0.528159260749817,3.26248550415039,1.20000004768372,69174,0.885042011737823,3.29919778912217,10.9581110300797,0.508130861449097,6.98133292391151,2.23761818856434,3.20212643457567,2.24103430187183,18.2539566780537,2.5332335367648,0.538901470080221,3.77694187489605,3.7151575634284,11.0723653066186,5052,9404,51894,8713,2941,610,5613,1591,519,5410,252,227,286.72,754,7214,44680,159290.923,588,2316,4001,2044,3856,5.8489214,16450,1542,3510,447.56,0,68233,47628.668,45511600,6515.5,83.4,16.8,388872,188,185644,100095,3845770,59.1307846645353
106,2016,"Fredrikstad",78967,18624,4240,6638,2904,8830,2932,625,462,523,1448,"Fredrikstad",34.7999992370605,1330,0.0168424788862467,0.923638999462128,0.519337594509125,3.40484857559204,2.70000004768372,162897,2.0628490447998,3.41196955690352,11.3226917573163,0.533513999518786,7.30369648080844,2.48805197107653,3.76307824787569,2.61972722782935,18.9635797231755,2.58808109716717,0.531893069256778,3.62285511669432,4.49502956931376,11.7713728519508,5009,9549,52354,8972,2927,633,5605,1325,515,5474,257,223,286.72,756,7166,45188,165867.20066667,635,2296,4026,2076,4051,4.79483854,17065,1584,3425,446.33333333,0,52271,47628.668,101743400,6296,78.8,17.4,383235,170,186545,220882,4108601,63.707016861736
106,2017,"Fredrikstad",80121,18728,4195,6710,2895,9103,2940,619,462,458,1482,"Fredrikstad",34.4000015258789,1302,0.0162504203617573,0.928033828735352,0.519337594509125,3.40484857559204,2.59999990463257,161635,2.01738619804382,3.67898553437925,11.3393991587724,0.633242221140525,7.33594188789456,2.50029330637411,4.02361428339636,2.70007863107051,19.6149324147227,2.90509354601166,0.52929943460516,3.32977621347712,4.42855181537924,11.8259632306137,4995,9608,53066,9236,3010,614,5549,1224,690,5546,266,222,292.55,744,7220,45846,162598.715,710,2192,4123,2157,4272,4.36231231,17686,1606,3389,525.45833337,0,44856,47628.668,138989600,6320,130.2,27.3,390177,171,178992,173103,4292361,65.0365946452674
106,2018,"Fredrikstad",80977,18723,4243,6704,2935,9378,3045,609,462,443,1204,"Fredrikstad",34.2000007629395,1283,0.0158440042287111,0.930535852909088,0.519337594509125,3.40484857559204,0.400000005960464,28914,0.357064366340637,4.34543141879793,11.5599120737987,0.613260555466367,7.74897810489398,2.75725205922669,4.08891413611272,2.99871568470059,20.8597502994677,2.82591353100263,0.541338898699631,3.5033034071403,4.45002902058609,11.933845412895,4925,9705,53441,9533,3074,611,5455,1149,688,5712,272,229,292.56,746,7129,46312,161064.05866667,707,2208,4332,2261,4481,4.14075815,18305,1524,3401,454.48999995,0,42997,47628.668,121580275,6429,169.7,30.6,393873,166,183053,154382,4452637,66.6498635562341
111,2014,"Hvaler",4386,922,204,313,149,596,136,28,30,26,54,"Hvaler",71.6999969482422,131,0.0298677608370781,0.580999970436096,0.349378228187561,3.90265464782715,3.70000004768372,14795,3.37323307991028,5.67327861377109,13.8919288645691,0.655722754217966,6.36183310533516,2.88531691746466,2.86844505243958,6.85088919288646,17.140218878249,1.68604651162791,0.778613771089831,7.51276789785682,5.46808025535796,16.1012311901505,234,463,2919,634,132,29,310,42,28,289,13,23,90.12,219,345,2574,32158.79633333,19,87,79,88,22,0.05346885,978,66,168,24.25,0,2671,2450.6667,7230600,393,54.1,12.7,13517,6,7259,10202,242172,75.1463748947758
111,2015,"Hvaler",4480,922,189,316,162,662,135,31,30,29,62,"Hvaler",71.6999969482422,129,0.0287946425378323,0.589508950710297,0.349378228187561,3.90265464782715,-0.800000011920929,-3170,-0.707589268684387,5.28013392857143,14.4627232142857,0.7296875,6.30647321428571,2.77165178571429,3.57700892857143,6.50424107142857,18.7566964285714,1.984375,0.699107142857143,7.30870535714286,5.77165178571429,16.4935267857143,219,470,2950,682,132,30,299,39,26,311,13,22,90.12,219,378,2572,32139.50966667,20,88,103,97,28,0.0598435,1025,62,157,25.58,0,3383,2450.6667,9410600,389,55,12.1,13163,5,7758,5064,246369,73.4448660884585
111,2016,"Hvaler",4511,913,192,332,141,690,137,32,30,37,66,"Hvaler",70.8000030517578,114,0.0252715591341257,0.592994928359985,0.359689027070999,3.90265417098999,-0.600000023841858,-2560,-0.567501664161682,5.24407005098648,14.9257370871204,0.831966304588783,6.54622035025493,2.91797827532698,3.49190866770117,7.27288849479051,19.8514741742407,2.15584127687874,0.686987364220794,8.13921525160718,6.10574152072711,17.9197517180226,214,472,2939,715,145,35,309,38,26,316,19,20,90.12,217,367,2572,32148.66133333,25,96,100,105,38,0.05770274,1046,57,157,23.75,0,2914,2450.6667,10229600,385,78.9,17.3,16700,6,9758,10855,257384,77.6025271542821
111,2017,"Hvaler",4517,882,170,323,151,740,151,33,30,30,78,"Hvaler",72.5999984741211,119,0.0263449195772409,0.601505398750305,0.359689027070999,3.90265417098999,3.90000009536743,18070,4.00044298171997,5.08456940447199,14.8189063537746,0.868496789904804,6.37702014611468,3.16847465131725,3.436572946646,6.73145893292008,21.1558556564091,2.12884657958822,0.188399380119548,8.77485056453398,6.96413548815586,18.9247288023024,197,463,2905,767,157,36,292,40,35,345,19,18,90.12,217,355,2550,32402.81566667,30,86,130,113,31,0.07441937,1087,54,143,19.5,0,2469,2450.6667,12059000,367,93,22.7,21160,7,12515,13906,271912,83.6980298756761
111,2018,"Hvaler",4540,872,173,323,127,799,158,37,30,21,60,"Hvaler",71.8000030517578,117,0.0257709249854088,0.603744506835938,0.359689027070999,3.90265417098999,2.40000009536743,11117,2.44867849349976,5.68149779735683,14.4700440528634,0.773348017621145,6.63392070484582,3.13854625550661,4.09581497797357,6.04471365638766,20.8678414096916,1.85418502202643,0.265638766519824,8.29008810572687,7.13149779735683,18.3147577092511,192,464,2895,828,162,42,285,36,34,367,20,20,90.12,210,332,2563,32413.41633333,21,80,134,117,23,0.06670225,1112,56,136,24.9866667,0,2347,2450.6667,10533500,376,125.4,22.2,23364,7,14474,10278,282395,81.6958150573764
118,2014,"Aremark",1408,330,66,121,59,178,60,28,7,17,30,"Aremark",100,60,0.0426136367022991,0.251000016927719,0.261813551187515,4.18840551376343,1.10000002384186,1368,0.971590936183929,8.46661931818182,15.2336647727273,0.59375,5.49928977272727,3.30042613636364,1.72940340909091,3.79474431818182,27.6860795454545,3.64488636363636,0.418323863636364,3.19886363636364,5.42755681818182,13.2833806818182,89,181,886,182,56,25,79,16,8,123,4,67,319.27,210,109,777,7460.14933333,0,25,45,32,1.5,0.02869157,192,27,62,5.58,0,192,178.66667,0,91,227.8,43.1,9737,4,5565,1240,93077,79.9651988907294
118,2015,"Aremark",1406,323,71,114,64,182,54,23,7,14,35,"Aremark",100,58,0.0412517786026001,0.247510671615601,0.261813551187515,4.18840551376343,0.5,694,0.493598848581314,9.57823613086771,16.5697012802276,0.556187766714083,5.56827880512091,3.17567567567568,1.95305832147937,3.43669985775249,28.302987197724,3.60953058321479,0.378378378378378,4.0099573257468,5.47866287339972,14.0327169274538,84,176,880,186,53,22,82,14,9,118,4,64,319.27,207,103,777,7479.24766667,1,32,51,36,1.5,0.02961702,201,29,55,11.33,0,200,178.66667,0,91.5,177.8,31.7,9438,4,5114,991,94042,83.1109530448829
118,2016,"Aremark",1404,323,72,111,70,182,52,22,7,19,34,"Aremark",100,41,0.0292022787034512,0.245014250278473,0.250726908445358,4.07042217254639,-0.5,-735,-0.523504257202148,8.5,17.9615384615385,0.894586894586895,6.06552706552707,3.08547008547009,3.36823361823362,3.07336182336182,28.6502849002849,3.62962962962963,0.628205128205128,4.03846153846154,5.48575498575499,14.6766381766382,76,176,881,186,56,21,85,16,8,116,3,65,319.27,206,110,771,7493.47966667,9,35,34,35,1.5,0.0234576,203,23,53,5.5,0,132,178.66667,6163400,92,99,23.8,9497,4,4869,3425,97449,84.857549873852
118,2017,"Aremark",1398,313,56,119,59,191,56,21,7,18,26,"Aremark",100,47,0.0336194559931755,0,0.250726908445358,4.07042217254639,-0.699999988079071,-981,-0.701716721057892,9.32975679542203,18.5979971387697,0.984263233190272,5.59728183118741,3.14592274678112,3.4241773962804,2.85693848354793,25.9349070100143,4.13805436337625,0.415593705293276,5.24535050071531,5.15736766809728,15.9406294706724,70,171,898,190,62,21,80,18,10,122,3,61,319.27,202,119,779,7490.00066667,10,32,41,35,1.5,0.0302087,205,21,49,5.83333333,0,195,178.66667,2945500,101,144,35,4645,2,2175,1971,99326,84.1258941516174
