"Brancher","kod_fisk_mej","ovr_fode","bol","ene_hje","ene_tra","tra","ovr_var","ovr_tje","sum"
"69700 Advokater, revisorer og virksomhedskonsulenter-(Tilgang)",0,0,0,0,0,0.618090784110079,0.0759736088514808,0.30593560703844,499.713
"71000 Arkitekter og rådgivende ingeniører-(Tilgang)",0,0,0,0,0,0.95791870758631,0.0420812924136902,0,549.793
"72001 Forskning og udvikling, markedsmæssig-(Tilgang)",0,0,0,0,0,0.825686454436366,0.174313545563634,0,56.668
"72002 Forskning og udvikling, ikke-markedsmæssig-(Tilgang)",NA,NA,NA,NA,NA,NA,NA,NA,0
"73000 Reklame- og analysebureauer-(Tilgang)",0,0,0,0,0,0.840139999171603,0.159860000828397,0,48.286
"74750 Dyrlæger og anden videnservice-(Tilgang)",0,0,0,0,0,0.0271745344635026,0.765773611186505,0.207051854349993,1731.658
"77000 Udlejning og leasing af materiel-(Tilgang)",0,0,0,0,0,0.698943004558387,0.00293834636417691,0.298118649077436,2594.997
"78000 Arbejdsformidling og vikarbureauer-(Tilgang)",0,0,0,0,0,0.0750305365748951,0.0142333658716084,0.910736097553496,195.667
"79000 Rejsebureauer-(Tilgang)",0,0,0,0,0,0.00946614074987554,0.000202305482052521,0.990331553768072,15491.424
"80820 Rengøring og anden operationel service-(Tilgang)",0,0,0,0,0,0.0796991959511857,0.0049116362597445,0.91538916778907,2450.1
"84202 Offentlig administration mv.-(Tilgang)",0,0,0,0,0,0,0,1,1029.688
"84101 Redningskorps mv., markedsmæssig-(Tilgang)",0,0,0,0,0,0.0293922369004767,0.0741385829678656,0.896469180131658,335.871
"85202 Undervisning, ikke-markedsmæssig-(Tilgang)",0,0,0,0,0,0,0,1,6339.924
"85101 Voksenundervisning mv., markedsmæssig-(Tilgang)",0,0,0,0,0,0.460761925318368,0.000367241219820542,0.538870833461811,3243.1
"86000 Sundhedsvæsen-(Tilgang)",0,0,0,0,0,0.00432324472193525,0.0000762355218085722,0.995600519756256,15058.597
"87880 Sociale institutioner-(Tilgang)",0,0,0,0,0,0,0,1,16880.825
"90920 Kunst, kultur og spil-(Tilgang)",0,0,0,0,0,0.000527259671184394,0.0133659584822043,0.986106781846611,14154.316
"93000 Sport, forlystelsesparker og andre fritidsaktiviteter-(Tilgang)",0,0,0,0,0,0.00285273276003441,0.042922184596883,0.954225082643083,6951.58
"94000 Organisationer og foreninger-(Tilgang)",0,0,0,0,0,0.00238958042057246,0.000442923547612705,0.997167496031815,3806.526
"95000 Reparation af husholdningsudstyr-(Tilgang)",0,0,0,0,0,0.280071205048287,0.708207541404388,0.0117212535473246,3190.785
"96000 Frisører, vaskerier og andre serviceydelser-(Tilgang)",0,0,0,0,0,0.00290318017189807,0.000228387350267701,0.996868432477834,9019.764
"97000 Private husholdninger med ansat medhjælp-(Tilgang)",0,0,0,0,0,0,0,1,887.764
