"Likeli","a1","a2","a3","a4","b1","b2","b3","b4","h1","h2","h3","h4","o1","o2","o3","o4","o5","o6","rho"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-311.654724117161,0.134202270255207,0.0215030574592133,0.107251709977316,0.737042962308264,19829.4214062202,2202.84101135119,-3428.18247601607,86437.9054430443,0.0325509272981948,0.0781659592301391,0.195886828484884,-0.432620860023519,0.0000143732925520314,-0.00000441677596955086,0.00000586826513858253,0.00000514903691476614,-0.00000418631137682108,0.0000232569990593256,0.948879015262459
-309.5591562509,0.219390521290483,0.187084245214168,0.307629693227317,0.285895540268032,19542.5693524595,7794.9776420924,-6093.48418432878,13883.0295835847,-0.0356642915004826,-0.203073618292596,0.0880887375561403,-0.162334451467613,0.0000172925224743611,-0.00000455908367049493,0.0000087902360562912,0.00000483777756809729,-0.00000471678053824002,0.0000260240671538128,1.0124658002335
-311.654724463714,0.13419829146756,0.021515257868103,0.107260339103291,0.737026111561046,19829.9398380486,2202.18738040476,-3429.48723558207,86416.3490858694,0.0325326736680294,0.0781562757259564,0.195917245878416,-0.432505370117333,0.0000143740655713165,-0.00000441711217779434,0.00000586921650811421,0.00000514923823453293,-0.00000418637754710102,0.0000232574901589992,0.948870285347594
-311.399726279189,0.122201260997381,0.0266268251472001,0.0862910155577628,0.764880898297656,15895.7060179257,1420.85119191999,-4577.39297602785,64585.6139319959,0.0475145218628609,0.0625337696261201,0.195254532640332,-0.547109831294067,0.0000141558826142562,-0.00000472225677380911,0.00000623203637396999,0.00000527047847634177,-0.00000409862849834973,0.0000244619609834849,0.942620223505148
-311.654723853194,0.134189084092453,0.0215177853913716,0.107268467923258,0.737024662592918,19834.8428578514,2202.45095420865,-3427.52795175185,86455.6200174078,0.0324765368800348,0.078097784982067,0.195870929048055,-0.43274064623035,0.0000143746190458742,-0.00000441738676944166,0.000005869689444994,0.00000514920207768801,-0.00000418633541606703,0.0000232560899534943,0.94887246271954
-311.654723077875,0.134220164316895,0.0215120970738173,0.107308082296371,0.736959656312916,19842.958688541,2203.6446103064,-3424.3919715285,86476.6823680367,0.0324110767409746,0.078179218257246,0.195889710450622,-0.432542427842167,0.0000143753654498925,-0.00000441704810239694,0.00000586978399325014,0.00000514917081781162,-0.00000418652061976983,0.000023255259563158,0.948868240136401
-311.654724024801,0.134186090678065,0.0215225869332889,0.107234609846035,0.737056712542611,19825.3028085132,2200.62717873477,-3431.68575224802,86375.339422561,0.0325584521443796,0.078172911279958,0.195900266911044,-0.432500562225693,0.0000143733612344326,-0.00000441751647409942,0.00000586966139843398,0.00000514938872272397,-0.00000418649103165218,0.0000232592582638768,0.948862931368554
-311.654723445669,0.134226959596241,0.0215000173198397,0.10731039996025,0.73696262312367,19837.2298632668,2203.12497845047,-3424.56520727762,86448.6967579168,0.0325047453681561,0.0782038429846417,0.195951895842171,-0.4323822703546,0.0000143741956130524,-0.00000441689879406952,0.00000586828910842657,0.00000514933661970517,-0.00000418661764181638,0.0000232548353865246,0.948874300636681
-311.654723544719,0.134197547790941,0.021518564905191,0.107223877626161,0.737060009677707,19813.6885398076,2200.86437985201,-3435.29378034106,86336.4005691408,0.0327272081520902,0.0781516317996322,0.195952438731161,-0.432255441998075,0.000014372002789841,-0.00000441698314875254,0.00000586762667191332,0.00000514934009476004,-0.00000418600269073388,0.0000232591057816414,0.948869846759446
-310.963315402177,0.254727685308915,0.24799884264043,0.495444200156404,0.00182927189425062,19197.8855260922,8071.55063676825,-9089.76058154513,10162.3503273852,-0.114560674464619,-0.0949289697440497,-0.0554232608421079,-0.0928555769099081,0.0000179099169629996,-0.00000507579080244498,0.00000899715822404206,0.00000467952676969652,-0.000005061730614999,0.0000257217335508408,1.00748728666333
-311.654723545003,0.134211767438075,0.0214903013096058,0.107235475697694,0.737062455554625,19816.7562009749,2201.64856239861,-3431.79428828789,86366.8246744288,0.0327369939689554,0.078122973318151,0.195955402014013,-0.432286882203273,0.0000143731330245844,-0.00000441678405861715,0.0000058671974718733,0.00000514934221068318,-0.00000418661295470489,0.0000232580571759306,0.948884617512744
-310.547650100234,0.000252240161083793,0.0000651215863994218,0.145155849849935,0.854526788402582,9397.36912613905,1240.85631573438,9068.41790810689,155685.856177931,0.144206420313363,0.0888080376600405,0.263633447724855,0.0511097189860411,0.0000161114837943285,-0.00000484139745186991,0.00000434989868227901,0.00000591007958856784,-0.00000603162568892746,0.0000223293395912571,0.983284738790375
-311.654723930742,0.134187904352757,0.0215140261856089,0.107255708840733,0.737042360620901,19833.4150383823,2202.23092425909,-3430.40276874434,86423.3723208259,0.0324788250651742,0.0781460074306412,0.19588433629625,-0.432606593635376,0.0000143740291819315,-0.00000441716831564857,0.00000587049712113017,0.00000514934822767266,-0.00000418640071968091,0.0000232565606645998,0.948870090308217
-311.65472452874,0.134206482718041,0.0215113889840665,0.107265740005316,0.737016388292576,19827.4355786342,2202.06766324409,-3430.04094507226,86404.3301133282,0.0325767147282981,0.0781904018328869,0.195922358979946,-0.432406517082442,0.0000143735485095923,-0.00000441690920785488,0.00000586860286215302,0.00000514920516923667,-0.00000418624979604599,0.0000232573972458779,0.948870381703923
-311.65472418493,0.134196258585165,0.0215046259182496,0.107284195383818,0.737014920112767,19833.6495998359,2202.79580163866,-3428.69771783545,86435.7644723113,0.0325089944542684,0.0781652736396161,0.195891151056509,-0.432526402721581,0.0000143744028810522,-0.00000441696136439519,0.00000586924579487785,0.00000514908567399905,-0.00000418630524906125,0.0000232567912384314,0.948876583603874
