Quarter,Year,Food and non-alcoholic beverages  [C11],Food  [C111],Non-alcoholic beverages  [C112],"Alcoholic beverages,  tobacco and cannabis  [C12]",Alcoholic beverages  [C121],Tobacco  [C122],Cannabis  [C123],Clothing and footwear  [C13],Clothing  [C131],Footwear  [C132],"Housing, water, electricity, gas and other fuels  [C14]",Paid rental fees for housing  [C141],Imputed rental fees for housing  [C142],Maintenance and repair of the dwelling  [C143],Water supply and sanitation services  [C144],"Electricity, gas and other fuels  [C145]","Furnishings, household equipment and other goods and services related to the dwelling and property  [C15]","Furniture, furnishings, carpets and other floor coverings  [C151]",Household textiles  [C152],Household appliances  [C153],Tools and equipment for house and garden  [C154],Other goods and services related to the dwelling and property  [C155],Health  [C16],"Medical products, appliances and equipment  [C161]",Out-patient services  [C162],Hospital services  [C163],Transport  [C17],Purchase of vehicles  [C171],Operation of transport equipment  [C172],Transport services  [C173],Communications  [C18],Communications  [C181],Recreation and culture  [C19],"Audio-visual, photographic and information processing equipment  [C191]",Other major durables for recreation and culture  [C192],"Other recreational items and equipment, garden products and pets  [C193]",Recreational and cultural services  [C194],"Newspapers, books and stationery  [C195]",Education  [C21],Education  [C211],"Food, beverage and accommodation services  [C22]",Food and beverage services  [C221],Accommodation services  [C222],Insurance and financial services  [C23],Insurance  [C231],Financial services indirectly measured  [C232],Other financial services  [C233],Miscellaneous goods and services  [C24],Personal care  [C241],Personal effects  [C242],Social services  [C243],Other services  [C244],Net expenditure abroad  [C25],Expenditure by Canadians abroad  [C251],Expenditure by non-residents in Canada  [C252],Household final consumption expenditure  [C],Goods  [CG],Durable goods  [CD],Semi-durable goods  [CSD],Non-durable goods  [CND],Services  [CS]
Q1,1999,"74,706","66,589","8,098","34,935","12,832","20,372","3,771","23,544","20,124","3,410","159,251","34,096","93,697","2,260","4,880","24,612","33,260","8,307","2,012","3,606","3,343","16,359","23,095","9,829","11,917","1,777","105,551","36,306","56,691","15,042","12,797","12,797","53,849","4,047","4,704","11,401","31,438","7,036","9,901","9,901","57,396","49,833","7,585","54,166","17,129","16,465","20,448","36,438","15,152","5,379","9,215","6,868","-10,196","15,241","-25,437","664,922","304,722","69,324","40,395","202,117","359,999"
Q2,1999,"75,420","67,226","8,175","35,138","13,065","20,135","3,815","23,760","20,289","3,463","160,377","34,278","94,242","2,270","4,904","25,034","33,500","8,394","2,026","3,630","3,335","16,481","23,368","9,935","12,087","1,783","105,444","36,392","56,545","14,929","13,070","13,070","54,840","4,249","4,574","11,543","32,003","7,128","9,859","9,859","57,573","50,169","7,443","54,818","17,285","16,583","20,832","36,530","15,241","5,336","9,335","6,793","-8,908","15,424","-24,332","671,110","307,230","69,728","40,832","203,872","363,701"
Q3,1999,"75,778","67,565","8,196","35,530","13,278","20,220","3,863","24,019","20,516","3,494","161,451","34,421","94,782","2,292","4,920","25,437","34,122","8,643","2,088","3,704","3,352","16,681","23,828","10,149","12,321","1,796","108,246","38,371","56,880","14,842","13,185","13,185","55,916","4,350","4,708","11,746","32,549","7,253","9,861","9,861","57,717","50,352","7,410","55,289","17,302","16,807","21,068","36,874","15,363","5,393","9,434","6,863","-9,376","16,073","-25,449","679,110","312,734","72,419","41,453","205,422","366,051"
Q4,1999,"76,883","68,547","8,318","36,183","13,968","19,850","3,908","24,048","20,655","3,372","161,477","34,648","95,409","2,293","4,929","24,363","34,161","8,656","2,057","3,745","3,335","16,706","24,128","10,301","12,448","1,815","109,658","39,643","56,552","14,825","13,703","13,703","56,533","4,517","4,444","11,707","33,280","7,258","9,895","9,895","58,633","51,259","7,432","55,751","17,584","16,751","21,298","37,155","15,463","5,490","9,513","6,869","-9,134","16,800","-25,934","685,674","315,374","73,608","41,458","206,819","370,003"
Q1,2000,"77,572","69,704","7,909","35,652","13,566","19,659","3,949","24,635","21,061","3,563","162,949","34,766","96,158","2,315","5,002","24,960","34,936","8,931","2,088","3,807","3,405","17,038","24,448","10,478","12,537","1,860","110,472","39,800","57,362","14,817","14,204","14,204","57,770","4,716","4,629","11,994","33,696","7,221","10,035","10,035","59,400","51,904","7,552","56,455","17,619","16,888","21,842","37,397","15,560","5,585","9,541","6,887","-9,771","16,643","-26,414","693,153","319,402","75,200","42,298","207,943","373,405"
Q2,2000,"78,097","70,149","7,986","35,724","13,650","19,507","3,993","24,840","21,277","3,547","164,494","34,939","96,873","2,332","5,043","25,646","35,295","9,108","2,123","3,873","3,423","17,068","24,825","10,745","12,574","1,905","110,976","40,190","56,926","15,153","14,584","14,584","58,388","4,833","4,783","12,122","33,819","7,165","10,047","10,047","59,893","52,393","7,563","56,891","17,675","17,113","22,001","37,519","15,727","5,520","9,576","6,862","-9,494","16,883","-26,377","699,167","322,149","76,242","42,610","209,213","376,670"
Q3,2000,"78,177","70,184","8,027","35,896","13,779","19,441","4,031","25,396","21,697","3,689","165,800","35,156","97,631","2,381","5,068","25,913","35,750","9,204","2,168","3,895","3,512","17,285","25,038","10,815","12,676","1,957","113,682","41,834","57,563","15,280","14,782","14,782","59,675","4,944","4,952","12,487","34,304","7,345","10,120","10,120","60,536","52,917","7,678","57,291","17,635","17,361","22,202","37,987","15,939","5,647","9,638","6,921","-9,321","16,953","-26,274","708,086","327,237","78,544","43,663","210,271","380,423"
Q4,2000,"78,583","70,488","8,124","36,105","13,913","19,422","4,069","25,405","21,758","3,631","167,166","35,309","98,307","2,392","5,101","26,450","35,984","9,274","2,190","3,891","3,555","17,395","25,291","10,894","12,846","1,976","109,535","37,721","58,419","15,622","14,999","14,999","60,755","5,080","5,055","12,646","35,038","7,297","10,207","10,207","61,013","53,346","7,728","57,363","17,621","17,275","22,371","38,477","16,146","5,787","9,695","7,001","-9,184","17,454","-26,638","709,379","325,135","75,477","43,869","211,938","384,033"
Q1,2001,"79,189","71,055","8,165","36,310","14,012","19,469","4,103","25,599","21,931","3,651","167,062","35,481","98,910","2,381","5,141","25,416","36,774","9,688","2,257","4,009","3,591","17,487","25,809","11,158","13,087","1,983","111,242","38,931","58,782","15,513","15,171","15,171","61,171","5,253","5,002","12,704","35,136","7,231","10,273","10,273","61,799","54,117","7,755","57,588","17,719","17,441","22,333","38,627","16,254","5,835","9,753","6,931","-9,196","18,146","-27,342","715,313","328,368","77,508","44,315","212,150","386,691"
Q2,2001,"79,168","70,955","8,237","36,297","14,166","19,108","4,137","26,202","22,365","3,830","167,415","35,644","99,674","2,397","5,174","24,722","36,822","9,578","2,265","4,044","3,609","17,605","26,201","11,352","13,270","1,996","111,810","39,906","58,623","14,970","15,394","15,394","61,216","5,288","5,093","12,834","34,770","7,252","10,315","10,315","61,110","53,453","7,722","57,907","17,872","17,474","22,466","38,912","16,399","5,829","9,829","7,002","-10,056","17,140","-27,196","716,541","330,294","78,510","45,178","211,676","385,880"
Q3,2001,"79,019","70,745","8,293","36,142","14,290","18,614","4,171","25,728","21,907","3,819","168,144","35,866","100,520","2,380","5,207","24,337","36,987","9,682","2,261","4,054","3,578","17,687","26,540","11,523","13,416","2,015","110,815","39,901","57,703","14,708","15,712","15,712","61,420","5,330","4,933","12,809","35,131","7,297","10,389","10,389","60,567","53,023","7,613","58,729","17,996","17,795","22,840","39,099","16,484","5,693","9,929","7,151","-8,738","16,996","-25,734","718,156","328,884","78,103","44,748","211,234","389,092"
Q4,2001,"79,197","70,821","8,390","36,215","14,379","18,500","4,206","26,415","22,550","3,857","168,525","36,117","101,400","2,424","5,232","23,438","37,903","9,968","2,261","4,245","3,680","17,993","27,027","11,852","13,511","2,047","115,283","43,442","58,602","13,958","16,151","16,151","62,736","5,517","5,035","13,093","35,801","7,325","10,443","10,443","60,741","53,109","7,695","59,713","18,098","17,988","23,528","39,543","16,613","5,825","10,015","7,252","-10,036","15,006","-25,042","726,888","336,059","82,580","45,949","211,490","390,400"
Q1,2002,"79,259","70,756","8,510","36,628","14,674","18,545","4,239","26,912","22,937","3,971","170,691","36,377","102,337","2,386","5,246","24,512","38,730","10,248","2,414","4,321","3,716","18,260","27,747","12,344","13,686","2,054","118,055","44,634","60,400","13,827","16,650","16,650","63,344","5,639","5,318","13,361","35,464","7,369","10,637","10,637","61,763","53,943","7,879","61,207","18,185","18,163","24,761","40,590","17,283","5,994","10,083","7,353","-11,661","15,010","-26,671","737,658","343,101","85,049","47,055","214,634","393,976"
Q2,2002,"79,965","71,388","8,585","36,167","14,435","18,218","4,271","26,991","23,025","3,960","173,017","36,696","103,284","2,444","5,268","25,600","39,123","10,303","2,382","4,442","3,712","18,514","28,012","12,510","13,774","2,054","118,382","45,267","59,565","13,978","17,043","17,043","64,431","5,782","5,219","13,525","36,495","7,311","10,821","10,821","61,737","53,762","8,020","61,399","18,330","18,367","24,605","40,861","17,444","6,102","10,142","7,287","-8,923","16,471","-25,394","746,503","345,676","85,736","47,379","216,219","400,350"
Q3,2002,"80,806","72,119","8,694","36,418","15,138","17,583","4,299","26,663","22,751","3,904","173,796","37,010","104,355","2,487","5,297","24,778","39,094","10,313","2,324","4,408","3,737","18,552","28,327","12,722","13,852","2,060","118,210","44,925","59,892","13,982","17,245","17,245","64,299","5,807","5,159","13,597","36,276","7,283","10,983","10,983","61,630","53,642","8,030","61,401","18,440","18,650","24,221","40,941","17,541","6,047","10,170","7,292","-9,051","16,735","-25,786","748,074","345,540","85,344","46,997","217,182","402,123"
Q4,2002,"81,462","72,685","8,783","36,445","15,255","17,431","4,325","27,204","23,176","4,024","176,385","37,236","105,206","2,535","5,304","26,364","39,956","10,749","2,390","4,501","3,810","18,699","28,520","12,884","13,863","2,060","121,488","46,662","60,298","14,723","17,367","17,367","64,457","5,958","5,133","13,734","35,896","7,321","11,174","11,174","61,470","53,627","7,898","61,594","18,613","18,853","24,038","40,914","17,522","6,048","10,175","7,282","-9,963","16,645","-26,608","755,746","351,845","87,773","47,946","219,790","403,277"
Q1,2003,"81,756","72,954","8,808","36,292","15,345","17,105","4,350","27,741","23,669","4,065","177,607","37,522","106,112","2,525","5,311","26,371","40,370","10,753","2,455","4,533","3,877","18,971","28,736","13,105","13,819","2,065","120,864","45,824","61,366","14,304","17,602","17,602","64,801","6,089","5,326","13,853","35,583","7,312","11,235","11,235","60,854","52,866","8,020","61,336","18,741","18,981","23,520","41,346","17,746","6,145","10,148","7,406","-7,795","16,270","-24,065","759,823","353,641","87,785","48,777","220,674","405,563"
Q2,2003,"81,983","73,125","8,863","36,101","15,304","16,889","4,376","28,066","24,000","4,054","178,488","37,841","107,137","2,525","5,304","25,856","40,758","10,789","2,472","4,636","3,922","19,157","29,059","13,335","13,879","2,077","120,577","46,526","61,109","13,373","17,683","17,683","65,589","6,235","5,397","13,953","36,052","7,263","11,353","11,353","60,307","52,777","7,592","61,660","18,921","19,180","23,460","41,736","18,080","6,125","10,153","7,457","-3,775","15,999","-19,774","766,283","355,520","88,947","49,218","220,637","410,232"
Q3,2003,"82,029","73,125","8,908","36,256","15,439","16,877","4,398","28,134","24,050","4,072","180,141","38,169","108,180","2,520","5,297","26,135","41,162","10,957","2,488","4,729","3,921","19,263","29,361","13,560","13,929","2,082","122,558","48,318","60,312","13,743","17,804","17,804","65,593","6,399","5,374","13,952","35,695","7,239","11,461","11,461","60,518","52,824","7,748","62,150","18,998","19,352","23,702","41,997","18,231","6,175","10,154","7,509","-2,988","18,450","-21,438","773,450","358,736","91,191","49,430","221,001","414,187"
Q4,2003,"82,487","73,478","9,012","36,479","15,570","16,947","4,421","27,903","23,769","4,132","181,110","38,524","109,183","2,506","5,304","25,701","41,480","11,061","2,484","4,770","3,908","19,457","29,746","13,802","14,023","2,116","118,378","44,270","60,830","14,190","17,993","17,993","66,086","6,439","5,196","14,127","36,239","7,259","11,552","11,552","61,164","53,193","8,015","63,059","19,268","19,462","24,233","42,390","18,457","6,230","10,171","7,595","-2,884","19,841","-22,725","774,865","355,349","87,496","49,360","222,199","419,284"
Q1,2004,"83,179","74,059","9,122","36,230","15,601","16,597","4,443","28,602","24,373","4,226","182,876","38,820","110,309","2,511","5,311","26,024","42,537","11,466","2,545","4,881","4,023","19,798","30,452","14,252","14,206","2,161","120,874","45,267","61,854","14,614","18,370","18,370","67,245","6,728","5,428","14,300","36,513","7,221","11,551","11,551","61,668","53,635","8,077","64,149","19,311","19,550","25,202","43,204","18,902","6,392","10,276","7,682","-3,936","19,841","-23,777","785,127","361,392","90,004","50,559","224,098","423,406"
Q2,2004,"83,770","74,551","9,221","36,157","15,579","16,504","4,465","28,693","24,473","4,215","183,736","39,069","111,371","2,592","5,332","25,421","42,874","11,514","2,516","4,874","4,101","20,073","30,735","14,343","14,394","2,178","121,411","45,580","61,620","14,959","18,695","18,695","67,584","6,896","5,418","14,443","36,324","7,273","11,524","11,524","62,192","54,084","8,152","65,288","19,464","19,726","26,018","43,330","19,063","6,411","10,310","7,584","-5,193","19,803","-24,996","789,024","362,738","90,568","50,941","224,362","425,988"
Q3,2004,"83,652","74,448","9,206","36,325","15,750","16,469","4,487","29,131","24,887","4,234","185,779","39,342","112,525","2,678","5,354","25,930","43,615","11,821","2,512","5,018","4,213","20,215","31,054","14,491","14,538","2,206","121,952","45,446","62,335","15,067","18,924","18,924","68,929","7,058","5,473","14,701","37,229","7,292","11,546","11,546","62,417","54,291","8,171","65,943","19,538","19,894","26,437","43,570","19,255","6,370","10,373","7,605","-5,064","20,084","-25,148","796,337","365,931","91,370","51,769","225,815","430,118"
Q4,2004,"84,153","74,930","9,226","36,111","15,502","16,475","4,507","28,897","24,680","4,207","187,944","39,619","113,747","2,669","5,397","26,568","43,808","11,899","2,508","4,957","4,277","20,343","31,497","14,712","14,748","2,218","123,983","46,431","63,253","15,143","19,188","19,188","68,509","7,133","5,546","14,802","36,368","7,240","11,593","11,593","62,220","54,016","8,241","66,925","19,657","20,021","27,182","43,857","19,411","6,380","10,452","7,646","-4,295","20,931","-25,226","802,788","368,885","92,706","51,656","227,572","433,612"
