,Turisme_pris,Tjenster_pris,TurTje_pris,Varer_pris,TurTjeVar_pris,Energi_pris,TurTjeVarEne_pris,Biler_pris,Turisme_maengde,Tjenester_maengde,TurTje_maengde,Varer_maengde,TurTjeVar_maengde,Energi_maengde,TurTjeVarEne_maengde,Biler_maengde
1994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13038,68449,26076.0,181253,207329.0,32187,239516.0,86817
1995,0.9290906374426164,1.022965189065257,1.0143175736656038,1.0293982126810315,1.0237676085327807,1.0054040720610549,1.021673196160596,1.041249262746894,12723,97545,25446.0,177993,203439.0,35652,239091.0,81869
1996,0.9529943698808351,1.0331633202687216,1.0258120485248703,1.051176432601695,1.0418214354889355,1.064030107026137,1.044481648686606,1.0792285293838981,12216,100643,24432.0,178662,203094.0,34971,238065.0,79418
1997,0.9795080402689099,1.0553957790782955,1.0479484296114743,1.068285333175111,1.0605433612367041,1.0879876733683387,1.0638452846053466,1.1094243311526972,16424,105931,32848.0,178366,211214.0,35816,247030.0,81496
1998,1.0257141153827942,1.0691252289491056,1.0650343925089618,1.0948696950842263,1.0833161193820773,1.1350507477537652,1.0894215656665485,1.115070265081585,15119,111313,30238.0,174419,204657.0,34164,238821.0,76349
1999,1.072623388231066,1.1143421656495769,1.1101466706851097,1.1172068611914625,1.114424896223591,1.1897821722950783,1.1228682122897284,1.1585753847837041,17276,113369,34552.0,179315,213867.0,32389,246256.0,86216
2000,1.1468592874050083,1.1399872295168219,1.1406859776640028,1.1362485475607242,1.1379884165594665,1.2968639527895593,1.1555013015563191,1.252981577317906,15961,101320,31922.0,178301,210223.0,30287,240510.0,68301
2001,1.225311916782506,1.174113407044434,1.1792384923415908,1.162275668263896,1.1689775641434186,1.3374423195733787,1.1891650374381144,1.2715407523353481,15473,94890,30946.0,168685,199631.0,30878,230509.0,63019
2002,1.269112152834532,1.2219971153132165,1.2265637652720123,1.187478640932074,1.202861896769645,1.4049985530953364,1.2273499275871806,1.3049676831313688,13016,90160,26032.0,162508,188540.0,32689,221229.0,62273
2003,1.2540407105796176,1.3003273660014403,1.2960001167071649,1.2011129557320925,1.2387549880307689,1.3984003322978178,1.2581646756248166,1.3378441739769396,11662,94298,23324.0,159710,183034.0,31642,214676.0,67365
2004,1.2735599049566972,1.346232431559947,1.339346518032555,1.1978795691527366,1.253829130958223,1.4131648893238309,1.2730484860966575,1.357684667544843,10771,91681,21542.0,156674,178216.0,30443,208659.0,73092
2005,1.2682133014305252,1.391407646985639,1.3784586659524485,1.2034781148045646,1.2742651523207411,1.475346633275736,1.2971410746019085,1.3923369471555223,13828,94689,27656.0,163189,190845.0,30313,221158.0,76999
2006,1.354592400392613,1.4264400594161353,1.4187336273426552,1.2155401572799203,1.3005340726614896,1.5455029208725468,1.3275386671402474,1.4144675680128105,11524,99533,23048.0,169564,192612.0,31265,223877.0,86132
2007,1.4023899957470476,1.4584647142996907,1.451441171492428,1.2365052051418899,1.3255798476041942,1.558123269220922,1.349647435241736,1.423269891626928,13016,99925,26032.0,170947,196979.0,29628,226607.0,76055
2008,1.4633856006619779,1.5092013569547862,1.503118209859877,1.2750171662515262,1.3684669711316266,1.6495294955784023,1.3987415204312976,1.4842102388848297,13263,97548,26526.0,162741,189267.0,30312,219579.0,71081
2009,1.5434804094022807,1.5794031840869875,1.5751077243120468,1.2852416674836764,1.4015965901092429,1.6339493220104089,1.4276908832322224,1.484881860970126,11817,88389,23634.0,153684,177318.0,29482,206800.0,61055
2010,1.5759927171258694,1.6170163292294608,1.6124069978470263,1.2929434100888804,1.4211312126567102,1.7493516647041878,1.4628733563730212,1.5143410903973076,10233,89624,20466.0,151161,171627.0,35007,206634.0,64751
2011,1.5754415142497886,1.655472417573949,1.6459012636701804,1.3259304555003877,1.4554872928761209,1.8413375357414752,1.5003585996611648,1.5733647183082444,10807,85804,21614.0,145632,167246.0,29666,196912.0,61064
2012,1.551881081334333,1.7202070706175823,1.7004795086604436,1.358369573005697,1.50097957673134,1.873402391900443,1.5439552111857275,1.606236928601143,10874,88508,21748.0,139066,160814.0,26077,186891.0,52132
2013,1.5658627366188789,1.7214660714662593,1.7025531468351176,1.3655313525499113,1.5054401369523762,1.9085217506172025,1.5523039850727294,1.5710391985603382,10416,86337,20832.0,132723,153555.0,26004,179559.0,49622
2014,1.5461154866189826,1.7549370681128862,1.7252875476187106,1.3593917544787233,1.5108874704888429,1.9384022619662393,1.5603566376814935,1.5772568368857192,11043,81054,22086.0,126886,148972.0,26583,175555.0,48761
2015,1.5502865612648222,1.795218421993867,1.7665715586525228,1.3770171060341911,1.5419358331988497,1.8234784867111071,1.574301927776805,1.5189086227970572,9752,82878,19504.0,122138,141642.0,26512,168154.0,51686
2016,1.573779434241776,1.7806331729851004,1.7535447299254514,1.3702737979565265,1.5331645208763398,1.7816174952082793,1.561403507948842,1.508392486417829,13555,79885,27110.0,121934,149044.0,24920,173964.0,52305
2017,1.6161937600527163,1.7958918866696798,1.7701026293216686,1.3718336769095267,1.5428470114066235,1.7604045012771623,1.5708712203326063,1.5138485676799696,14277,79193,28554.0,116414,144968.0,28049,173017.0,52437
2018,1.6866611297213518,1.8285621355050905,1.8085184672222319,1.3509310995210022,1.5455434489987616,1.7484009520932358,1.5706817789683511,1.504134711784206,14736,84794,29472.0,122063,151535.0,27037,178572.0,53214
2019,1.705701099912575,1.8503425373667013,1.8314645228573885,1.3570962795548538,1.5587829288598316,1.7589536803701333,1.5834572973771497,1.5207191539276355,11566,80854,23132.0,118561,141693.0,27604,169297.0,53558
