,Turisme_pris,Tjenster_pris,TurTje_pris,Varer_pris,TurTjeVar_pris,Energi_pris,TurTjeVarEne_pris,Biler_pris,Turisme_maengde,Tjenester_maengde,TurTje_maengde,Varer_maengde,TurTjeVar_maengde,Energi_maengde,TurTjeVarEne_maengde,Biler_maengde
1994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3127,28125,6254.0,67118,73372.0,16116,89488.0,13365
1995,0.9290906374426164,1.022965189065257,1.0143175736656038,1.0293982126810315,1.0237676085327807,1.0054040720610549,1.021673196160596,1.041249262746894,3042,35259,6084.0,65045,71129.0,16090,87219.0,11846
1996,0.9529943698808351,1.0331633202687216,1.0258120485248703,1.051176432601695,1.0418214354889355,1.064030107026137,1.044481648686606,1.0792285293838981,2844,33800,5688.0,65315,71003.0,16837,87840.0,12593
1997,0.9795080402689099,1.0553957790782955,1.0479484296114743,1.068285333175111,1.0605433612367041,1.0879876733683387,1.0638452846053466,1.1094243311526972,3060,34314,6120.0,66309,72429.0,17386,89815.0,12865
1998,1.0257141153827942,1.0691252289491056,1.0650343925089618,1.0948696950842263,1.0833161193820773,1.1350507477537652,1.0894215656665485,1.115070265081585,2589,35368,5178.0,64452,69630.0,17275,86905.0,11728
1999,1.072623388231066,1.1143421656495769,1.1101466706851097,1.1172068611914625,1.114424896223591,1.1897821722950783,1.1228682122897284,1.1585753847837041,3147,36989,6294.0,63552,69846.0,16630,86476.0,12395
2000,1.1468592874050083,1.1399872295168219,1.1406859776640028,1.1362485475607242,1.1379884165594665,1.2968639527895593,1.1555013015563191,1.252981577317906,2859,34680,5718.0,61953,67671.0,16124,83795.0,10978
2001,1.225311916782506,1.174113407044434,1.1792384923415908,1.162275668263896,1.1689775641434186,1.3374423195733787,1.1891650374381144,1.2715407523353481,2718,34312,5436.0,60461,65897.0,17624,83521.0,9408
2002,1.269112152834532,1.2219971153132165,1.2265637652720123,1.187478640932074,1.202861896769645,1.4049985530953364,1.2273499275871806,1.3049676831313688,2257,33714,4514.0,59911,64425.0,16583,81008.0,9865
2003,1.2540407105796176,1.3003273660014403,1.2960001167071649,1.2011129557320925,1.2387549880307689,1.3984003322978178,1.2581646756248166,1.3378441739769396,2486,34930,4972.0,59170,64142.0,16777,80919.0,9795
2004,1.2735599049566972,1.346232431559947,1.339346518032555,1.1978795691527366,1.253829130958223,1.4131648893238309,1.2730484860966575,1.357684667544843,1922,33178,3844.0,58754,62598.0,15926,78524.0,10542
2005,1.2682133014305252,1.391407646985639,1.3784586659524485,1.2034781148045646,1.2742651523207411,1.475346633275736,1.2971410746019085,1.3923369471555223,2510,33563,5020.0,60890,65910.0,15327,81237.0,11320
2006,1.354592400392613,1.4264400594161353,1.4187336273426552,1.2155401572799203,1.3005340726614896,1.5455029208725468,1.3275386671402474,1.4144675680128105,2360,35318,4720.0,61254,65974.0,16044,82018.0,11675
2007,1.4023899957470476,1.4584647142996907,1.451441171492428,1.2365052051418899,1.3255798476041942,1.558123269220922,1.349647435241736,1.423269891626928,3025,36288,6050.0,59733,65783.0,15898,81681.0,10711
2008,1.4633856006619779,1.5092013569547862,1.503118209859877,1.2750171662515262,1.3684669711316266,1.6495294955784023,1.3987415204312976,1.4842102388848297,3059,36001,6118.0,58223,64341.0,15313,79654.0,8727
2009,1.5434804094022807,1.5794031840869875,1.5751077243120468,1.2852416674836764,1.4015965901092429,1.6339493220104089,1.4276908832322224,1.484881860970126,2933,33805,5866.0,55400,61266.0,15997,77263.0,7818
2010,1.5759927171258694,1.6170163292294608,1.6124069978470263,1.2929434100888804,1.4211312126567102,1.7493516647041878,1.4628733563730212,1.5143410903973076,2192,31958,4384.0,52820,57204.0,18576,75780.0,7636
2011,1.5754415142497886,1.655472417573949,1.6459012636701804,1.3259304555003877,1.4554872928761209,1.8413375357414752,1.5003585996611648,1.5733647183082444,2263,32735,4526.0,50559,55085.0,16047,71132.0,7426
2012,1.551881081334333,1.7202070706175823,1.7004795086604436,1.358369573005697,1.50097957673134,1.873402391900443,1.5439552111857275,1.606236928601143,2079,33296,4158.0,51504,55662.0,14856,70518.0,6992
2013,1.5658627366188789,1.7214660714662593,1.7025531468351176,1.3655313525499113,1.5054401369523762,1.9085217506172025,1.5523039850727294,1.5710391985603382,1835,30588,3670.0,50946,54616.0,14773,69389.0,6872
2014,1.5461154866189826,1.7549370681128862,1.7252875476187106,1.3593917544787233,1.5108874704888429,1.9384022619662393,1.5603566376814935,1.5772568368857192,1936,29103,3872.0,50232,54104.0,14328,68432.0,5748
2015,1.5502865612648222,1.795218421993867,1.7665715586525228,1.3770171060341911,1.5419358331988497,1.8234784867111071,1.574301927776805,1.5189086227970572,1583,30658,3166.0,49868,53034.0,16575,69609.0,6147
2016,1.573779434241776,1.7806331729851004,1.7535447299254514,1.3702737979565265,1.5331645208763398,1.7816174952082793,1.561403507948842,1.508392486417829,2659,29714,5318.0,46687,52005.0,15349,67354.0,7232
2017,1.6161937600527163,1.7958918866696798,1.7701026293216686,1.3718336769095267,1.5428470114066235,1.7604045012771623,1.5708712203326063,1.5138485676799696,3281,31201,6562.0,46701,53263.0,18297,71560.0,8851
2018,1.6866611297213518,1.8285621355050905,1.8085184672222319,1.3509310995210022,1.5455434489987616,1.7484009520932358,1.5706817789683511,1.504134711784206,3171,30113,6342.0,52319,58661.0,19476,78137.0,10150
2019,1.705701099912575,1.8503425373667013,1.8314645228573885,1.3570962795548538,1.5587829288598316,1.7589536803701333,1.5834572973771497,1.5207191539276355,2399,29263,4798.0,53890,58688.0,18532,77220.0,10102
