,Turisme_pris,Tjenster_pris,TurTje_pris,Varer_pris,TurTjeVar_pris,Energi_pris,TurTjeVarEne_pris,Biler_pris,Turisme_maengde,Tjenester_maengde,TurTje_maengde,Varer_maengde,TurTjeVar_maengde,Energi_maengde,TurTjeVarEne_maengde,Biler_maengde
1994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5445,54284,10890.0,103576,114466.0,21063,135529.0,37116
1995,0.9290906374426164,1.022965189065257,1.0143175736656038,1.0293982126810315,1.0237676085327807,1.0054040720610549,1.021673196160596,1.041249262746894,5711,56285,11422.0,104050,115472.0,21376,136848.0,36683
1996,0.9529943698808351,1.0331633202687216,1.0258120485248703,1.051176432601695,1.0418214354889355,1.064030107026137,1.044481648686606,1.0792285293838981,5648,55946,11296.0,105407,116703.0,22726,139429.0,37302
1997,0.9795080402689099,1.0553957790782955,1.0479484296114743,1.068285333175111,1.0605433612367041,1.0879876733683387,1.0638452846053466,1.1094243311526972,6435,59137,12870.0,106675,119545.0,23558,143103.0,38412
1998,1.0257141153827942,1.0691252289491056,1.0650343925089618,1.0948696950842263,1.0833161193820773,1.1350507477537652,1.0894215656665485,1.115070265081585,6427,61775,12854.0,107919,120773.0,23566,144339.0,38690
1999,1.072623388231066,1.1143421656495769,1.1101466706851097,1.1172068611914625,1.114424896223591,1.1897821722950783,1.1228682122897284,1.1585753847837041,7017,62758,14034.0,107303,121337.0,22344,143681.0,39594
2000,1.1468592874050083,1.1399872295168219,1.1406859776640028,1.1362485475607242,1.1379884165594665,1.2968639527895593,1.1555013015563191,1.252981577317906,6980,61667,13960.0,106433,120393.0,21690,142083.0,35548
2001,1.225311916782506,1.174113407044434,1.1792384923415908,1.162275668263896,1.1689775641434186,1.3374423195733787,1.1891650374381144,1.2715407523353481,6756,60735,13512.0,103332,116844.0,23257,140101.0,33608
2002,1.269112152834532,1.2219971153132165,1.2265637652720123,1.187478640932074,1.202861896769645,1.4049985530953364,1.2273499275871806,1.3049676831313688,6384,59481,12768.0,101482,114250.0,23068,137318.0,33989
2003,1.2540407105796176,1.3003273660014403,1.2960001167071649,1.2011129557320925,1.2387549880307689,1.3984003322978178,1.2581646756248166,1.3378441739769396,6268,60778,12536.0,101962,114498.0,23392,137890.0,32701
2004,1.2735599049566972,1.346232431559947,1.339346518032555,1.1978795691527366,1.253829130958223,1.4131648893238309,1.2730484860966575,1.357684667544843,6441,61536,12882.0,103901,116783.0,23576,140359.0,36641
2005,1.2682133014305252,1.391407646985639,1.3784586659524485,1.2034781148045646,1.2742651523207411,1.475346633275736,1.2971410746019085,1.3923369471555223,7884,67123,15768.0,110405,126173.0,23801,149974.0,41075
2006,1.354592400392613,1.4264400594161353,1.4187336273426552,1.2155401572799203,1.3005340726614896,1.5455029208725468,1.3275386671402474,1.4144675680128105,8970,74658,17940.0,116300,134240.0,24770,159010.0,46264
2007,1.4023899957470476,1.4584647142996907,1.451441171492428,1.2365052051418899,1.3255798476041942,1.558123269220922,1.349647435241736,1.423269891626928,10632,74252,21264.0,119940,141204.0,23646,164850.0,46487
2008,1.4633856006619779,1.5092013569547862,1.503118209859877,1.2750171662515262,1.3684669711316266,1.6495294955784023,1.3987415204312976,1.4842102388848297,10732,70097,21464.0,116466,137930.0,23817,161747.0,42730
2009,1.5434804094022807,1.5794031840869875,1.5751077243120468,1.2852416674836764,1.4015965901092429,1.6339493220104089,1.4276908832322224,1.484881860970126,8651,63697,17302.0,107887,125189.0,22802,147991.0,34909
2010,1.5759927171258694,1.6170163292294608,1.6124069978470263,1.2929434100888804,1.4211312126567102,1.7493516647041878,1.4628733563730212,1.5143410903973076,8190,64702,16380.0,108766,125146.0,26469,151615.0,38814
2011,1.5754415142497886,1.655472417573949,1.6459012636701804,1.3259304555003877,1.4554872928761209,1.8413375357414752,1.5003585996611648,1.5733647183082444,8679,63892,17358.0,106660,124018.0,23586,147604.0,39825
2012,1.551881081334333,1.7202070706175823,1.7004795086604436,1.358369573005697,1.50097957673134,1.873402391900443,1.5439552111857275,1.606236928601143,8700,65533,17400.0,103846,121246.0,23230,144476.0,37417
2013,1.5658627366188789,1.7214660714662593,1.7025531468351176,1.3655313525499113,1.5054401369523762,1.9085217506172025,1.5523039850727294,1.5710391985603382,8898,64309,17796.0,103139,120935.0,23200,144135.0,37267
2014,1.5461154866189826,1.7549370681128862,1.7252875476187106,1.3593917544787233,1.5108874704888429,1.9384022619662393,1.5603566376814935,1.5772568368857192,10279,62116,20558.0,102455,123013.0,22880,145893.0,36050
2015,1.5502865612648222,1.795218421993867,1.7665715586525228,1.3770171060341911,1.5419358331988497,1.8234784867111071,1.574301927776805,1.5189086227970572,8503,64198,17006.0,99026,116032.0,22306,138338.0,38731
2016,1.573779434241776,1.7806331729851004,1.7535447299254514,1.3702737979565265,1.5331645208763398,1.7816174952082793,1.561403507948842,1.508392486417829,9245,61352,18490.0,95513,114003.0,21301,135304.0,36320
2017,1.6161937600527163,1.7958918866696798,1.7701026293216686,1.3718336769095267,1.5428470114066235,1.7604045012771623,1.5708712203326063,1.5138485676799696,10326,61625,20652.0,95614,116266.0,24776,141042.0,35503
2018,1.6866611297213518,1.8285621355050905,1.8085184672222319,1.3509310995210022,1.5455434489987616,1.7484009520932358,1.5706817789683511,1.504134711784206,10604,64468,21208.0,101443,122651.0,24968,147619.0,38136
2019,1.705701099912575,1.8503425373667013,1.8314645228573885,1.3570962795548538,1.5587829288598316,1.7589536803701333,1.5834572973771497,1.5207191539276355,9648,64274,19296.0,99943,119239.0,24445,143684.0,38894
