;eps;1-eps
1;0,998019731;0,001980269
2;0,999169672;0,000830328
3;0,999470055;0,000529945
4;0,999619791;0,000380209
5;0,999644111;0,000355889
6;0,999635585;0,000364415
7;0,999937527;6,24729E-05
8;0,999989849;1,01511E-05
9;0,995694973;0,004305027
10;0,993231578;0,006768422
11;0,966499009;0,033500991
12;0,999627138;0,000372862
13;0,999631524;0,000368476
14;0,999622344;0,000377656
15;0,999565508;0,000434492
16;0,999541094;0,000458906
17;0,999530204;0,000469796
18;0,999662271;0,000337729
19;0,999842158;0,000157842
20;0,9998693;0,0001307
21;0,998776828;0,001223172
22;0,998386744;0,001613256
23;0,99294642;0,00705358
24;0,998995685;0,001004315
25;0,999720323;0,000279677
26;0,999914305;8,56947E-05
27;0,999563892;0,000436108
28;0,99895333;0,00104667
29;0,99776865;0,00223135
30;0,999142471;0,000857529
31;0,999810598;0,000189402
32;0,999959463;4,05365E-05
33;0,999815812;0,000184188
34;0,999625346;0,000374654
35;0,999746879;0,000253121
36;0,999557647;0,000442353
37;0,999619172;0,000380828
38;0,999887918;0,000112082
39;0,999960033;3,99669E-05
40;0,999944036;5,59642E-05
41;0,99976249;0,00023751
