"","aar","kod_fisk_mej","ovr_fode","bol","ene_hje","ene_tra","tra","ovr_var","ovr_tje","ialt"
"1",1994,11741.34,26087.96,40048.87,12548.19,6997.26,28982.3,44710.93,39996.45,211113.3
"2",1995,11452.02,25945.47,40983.28,12717.95,7113.42,28632.83,46389.02,42241.52,215475.51
"3",1996,11141.8,26016.31,42006.86,14636.68,7224.6,31357.42,46992.96,41064.68,220441.31
"4",1997,12025.6,27373.63,45622.27,14890.83,7353.34,32601.18,50148.06,44869.93,234884.84
"5",1998,12693.98,29475.2,45519.69,15498.44,7718.76,27612.38,52707.52,49749.97,240975.94
"6",1999,11351.05,26722.5,50256.72,15091.02,8922.01,29488.31,51921.44,49660.48,243413.53
"7",2000,12183.05,27217.11,54759.87,16236.53,9994.95,24167.96,55252.99,52425.96,252238.42
"8",2001,13024.2,28593.25,56086.36,17449.28,9797.33,29379.32,54686.84,55295.47,264312.05
"9",2002,13010.15,29445.78,57354.86,19163.41,10568.65,28853.28,56638.59,57931.12,272965.84
"10",2003,13377.65,30208.87,59034.51,19975.77,10930.59,35376.74,63421.28,60109.97,292435.38
"11",2004,11922.43,27335.57,58944.76,19723.84,9931.55,31408.99,62323.13,63035.51,284625.78
"12",2005,13039.38,29186.1,64491.67,20952.35,11661.04,43337.19,66786.74,73066.9,322521.37
"13",2006,14690.51,31309.04,61813.37,22483.86,11813.95,41029.16,72918.68,71620.82,327679.39
"14",2007,14742.15,30495.59,64042.95,20725.85,11467.84,38132.42,74558.21,79347.59,333512.6
"15",2008,15970.94,31275.69,70332.86,23251.93,13367.69,50465.67,71828.33,82298.16,358791.27
"16",2009,15723.56,31584.47,74296.24,21296.03,11961.65,40168.33,67803.77,82666.01,345500.06
"17",2010,16705.83,32224.86,78877.42,27777.62,13599.78,42651.4,69247.28,81754.93,362839.12
"18",2011,17222.4,33426.41,77806.73,24703.6,14888.48,41888.44,69580.78,79210.28,358727.12
"19",2012,18247.38,33898.92,74840.63,23794.67,15567.99,45826.75,69480.66,85204.6,366861.6
"20",2013,17971.61,32935.78,75742.64,25177.22,13990.65,46850.97,68118.13,88695.09,369482.09
"21",2014,17502.6,32120.85,77087.33,25034.08,11514.14,43343.48,63429.71,90929.23,360961.42
"22",2015,17534.63,31985.6,85868.09,25007.98,10256.6,47328.04,61956.93,95506.46,375444.33
"23",2016,17115.89,31623.95,80443.83,23633.46,8560.08,45464.13,59305.98,87179.43,353326.75
"24",2017,17516.52,35486.04,80759.86,25422.75,9747.98,45882.65,60500.86,92326.37,367643.03
"25",2018,18225.53,37367.43,91808,24537.53,11067.43,55507.52,56625.19,98509.24,393647.87
"26",2019,16398.55,34171.68,92001.38,25115.18,11358.86,51374.65,55067.38,97000.17,382487.85
