"","aar","kod_fisk_mej","ovr_fode","bol","ene_hje","ene_tra","tra","ovr_var","ovr_tje","ialt"
"1",1994,8955.56,20434.81,31370.8,9642.85,3054.51,10074.54,28801.27,26174.42,138508.76
"2",1995,9807.54,20965.6,31982.63,10109.79,3219.41,11416.01,30652.53,27548.53,145702.04
"3",1996,9631.57,20448.32,30668.82,10346.8,3246.55,10317.48,29591.65,26594.45,140845.64
"4",1997,9303.49,21092.18,31680.47,10881.86,3228.42,12278.6,30653.31,26982.95,146101.28
"5",1998,9837.48,23775.25,33746.46,12220.16,3839.24,12008.76,34121.24,29522.8,159071.39
"6",1999,9541.75,21812.23,35615.47,12830.3,4657.9,14014.03,33887.75,30845.5,163204.93
"7",2000,9351.48,21262.18,38068.2,13323.48,3739.13,10951.52,31565.45,29155.41,157416.85
"8",2001,8792.77,20095.39,38529.66,14710.15,3515.49,10203.52,25294.84,28603.75,149745.57
"9",2002,9237.82,20956.16,41513.6,14601.42,3806.84,11011.28,30508.94,29284.01,160920.07
"10",2003,9666.22,20995.44,45510.58,15400.31,3988.11,10828.34,32445.95,30461.17,169296.12
"11",2004,9561.78,19769.36,44656.6,16124.65,5835.89,10744.07,31618.43,32746.51,171057.29
"12",2005,10307.69,21132.31,46492.88,16020.09,5624.15,11828.63,39850.05,36768.33,188024.13
"13",2006,11458.85,21894.9,46402.35,18290.16,7872.87,19632.25,39554.63,38512.77,203618.78
"14",2007,11361.72,23488.89,47175.96,16115.57,5612.43,19963.03,43764.84,42409.59,209892.03
"15",2008,11996.69,24134.76,49663.19,17910.43,5453.41,17058.69,43993.44,44633.03,214843.64
"16",2009,11319.89,24144.47,50408.33,17377.42,5412.93,14767.42,40573.7,45251.13,209255.29
"17",2010,10623.79,22427.14,52804.42,21849.8,5469.91,17099.19,40805.7,44035.64,215115.59
"18",2011,10543.86,20981.94,51052.55,19564.41,6082.25,15453.62,36385.07,43678.22,203741.92
"19",2012,11037.19,22210.13,52031.99,19325.68,5898.66,15830.3,35326.53,44137.86,205798.34
"20",2013,11553.77,21742.35,51918.54,20754.02,5608.58,15789.82,34603.51,42590.36,204560.95
"21",2014,12758.52,23332.86,56215.96,20681.75,5343.56,14703.83,37234.98,43251.85,213523.31
"22",2015,12185.44,23039.75,52757.14,18698.42,4363.65,17157.18,38382.64,45997.02,212581.24
"23",2016,12242.97,24697.8,53154.33,17172.38,4308.46,12087.67,31274.14,46337.3,201275.05
"24",2017,12542.83,22587.6,52574.68,20367.74,3368.59,12968.89,28220.31,52929.55,205560.19
"25",2018,12375.37,22733.83,54988.03,21190.47,3473.55,16867.52,27717.76,47134.7,206481.23
"26",2019,11006,22495.23,61428.23,21879.32,5120.48,22349.19,29362.57,46097.16,219738.18
