"","aar","kod_fisk_mej","ovr_fode","bol","ene_hje","ene_tra","tra","ovr_var","ovr_tje","ialt"
"1",1994,11122,24629.24,37548.15,11532.23,5792.41,21347.3,41880.96,33741.82,187594.11
"2",1995,11217.2,24750.74,38333.39,11423.35,6143.04,18210.29,40939.09,35981.18,186998.28
"3",1996,10596.24,25345.12,37998.11,12932.86,6194.05,19172.9,41659.58,35953.28,189852.14
"4",1997,10758.45,24317.41,39696.53,15120.07,6391.38,24596.06,42032.96,37026.09,199938.95
"5",1998,11011.52,25522.65,41213.6,14844.86,6290.07,21433.4,43328,39028.36,202672.46
"6",1999,10990.73,26016.72,43747.96,14406.48,7150.11,27982.42,46467.42,42277.57,219039.41
"7",2000,11020.11,25799.58,43756.86,13954.42,7875.2,17549.8,45258.02,43417.64,208631.63
"8",2001,10461.26,25856.44,45963.28,17271.81,7448.77,16673.14,43905.28,43709.05,211289.03
"9",2002,10659.55,24777.19,46534.03,17798.27,6839.13,19572.78,45574.8,44329.52,216085.27
"10",2003,11110.82,24025.98,47919.46,18636.74,6498.02,22679.57,46725.08,50088.38,227684.05
"11",2004,12847.1,26975.75,51721.91,20466.71,7754,23705.89,51713.66,51760.7,246945.72
"12",2005,13539.79,28539.79,55935.64,19977.94,8542.12,28644.23,49190.11,59132.24,263501.86
"13",2006,14725.81,29111.16,57249.04,22610.16,9457.39,31168.44,56358.73,61172.89,281853.62
"14",2007,13477.71,27982.28,65786.29,19522,8433.23,40442.77,64537.37,68386.37,308568.02
"15",2008,14360.42,28278.41,63558.45,21838.88,9363.04,30393.89,60881.14,70925.98,299600.21
"16",2009,14512.09,29096.14,70794.56,19677.22,7817.07,24457.73,58415.62,67310.23,292080.66
"17",2010,14333.55,28704.12,64046.84,26620.97,9866.24,26766.32,57179.88,65642.77,293160.69
"18",2011,15408.96,29121.67,66886.27,24454,10579.76,31534.87,53808.59,64488.77,296282.89
"19",2012,14398.59,27262.41,65892.22,25143.45,10193.22,24185.11,47394.97,64152.23,278622.2
"20",2013,14164.2,27417.22,70453.57,23031.23,9579.68,25299.84,49478.34,69642.41,289066.49
"21",2014,14806.07,26950.53,76171.92,24477.66,9849.96,25192.25,46434.49,68150.49,292033.37
"22",2015,15558.18,27880.35,67061.28,21324.19,8738.95,32795.33,48585.7,77695.5,299639.48
"23",2016,14763.41,28473.45,71826.48,19867.7,6770.96,33433.41,44499.91,65734.56,285369.88
"24",2017,14585.98,29152.1,70122.59,25342.88,6568.94,29177.33,40442.8,67057.41,282450.03
"25",2018,14458.66,30649.52,70409.4,24516.73,7378.01,32621.26,48013.46,79569.65,307616.69
"26",2019,13999.82,30399.41,80650.01,20831,7860.71,30427.19,47635.82,86397.54,318201.5
