"","aar","kod_fisk_mej","ovr_fode","bol","ene_hje","ene_tra","tra","ovr_var","ovr_tje","ialt"
"1",1994,9940.73,23567.91,35353.45,11169.18,5209.6,24936,41474.33,33146.03,184797.23
"2",1995,10554.24,25107.25,36111.32,12303.65,6005.56,25053.81,43516.14,36384.79,195036.76
"3",1996,10465.65,25217.28,36362.49,14009.46,6445.23,23387.24,42300.11,36480.35,194667.81
"4",1997,10913.95,27174.42,40578.61,13815.63,6693.88,25369.79,45273.74,41334.34,211154.36
"5",1998,12102.15,27239.94,47481.57,14460.33,6702.4,30638.15,44324.09,44029.77,226978.4
"6",1999,11499.12,26519.05,47559.7,14649.21,7386.07,32848.81,46686.61,44490.57,231639.14
"7",2000,11391.23,26913.71,48843.04,16134.2,8317.47,27836.4,44335.69,46768.74,230540.48
"8",2001,12122.19,27914.05,48615.36,17407.3,8041.53,23485.03,51083.37,50251,238919.83
"9",2002,13110.62,27315.57,51552.59,17434.11,7447.74,24756.61,50338.79,51988.59,243944.62
"10",2003,11871.56,25767.93,49729.98,17773.67,7538.52,19736.26,52575.66,48122.04,233115.62
"11",2004,13547.13,27230.29,53580.37,19635.54,9928.57,31217.36,59267.27,50657.26,265063.79
"12",2005,13845.55,27031.19,54245.43,20918.07,11045.96,37672.35,68151.01,57772.77,290682.33
"13",2006,14911.29,28513.39,62151.36,24197.61,11846.08,47717.99,70606.62,72268.27,332212.61
"14",2007,14393.7,27350.83,62554.03,19623.88,10624.9,37410.81,68046.78,68142.23,308147.16
"15",2008,15731.33,30170.73,61135.19,21745.1,13530.11,39103.01,63648.19,69981.73,315045.39
"16",2009,15421.46,30822.36,65758.47,23133.75,12313.48,37364.54,56565.16,69397.49,310776.71
"17",2010,15793.72,30703.25,69562.92,28089.86,11821.01,34913.34,54485.87,73604.57,318974.54
"18",2011,16287.15,31644.56,69450.09,26180.68,13045.96,32480.49,56513.02,80099.85,325701.8
"19",2012,17187.07,31815.83,71648.7,25819.95,11146.06,29092.57,56553.58,88329.34,331593.1
"20",2013,15777.61,32206.26,71203.99,27784.55,11655.28,32844.63,57179.68,78314.65,326966.65
"21",2014,15424.43,32052.52,72081.27,26316.96,10487.63,29763.36,52702.61,79996.05,318824.83
"22",2015,16593.49,33287.57,75082.99,25001.47,9589.2,40034.65,54072.52,85580.39,339242.28
"23",2016,16101.84,29847.61,72578.84,20830.47,8545.67,34329.77,47432.52,75652.85,305319.57
"24",2017,15843.09,31459.48,82633.57,25633.39,8539.32,39209.23,45596.08,80022.13,328936.29
"25",2018,16725.86,33007.51,86260.76,30031.16,9043.56,36960.39,44443.57,83470.73,339943.54
"26",2019,17543.53,33997.63,82725.88,30234.91,9586.45,44414.68,51475.48,83447.94,353426.5
