"","aar","kod_fisk_mej","ovr_fode","bol","ene_hje","ene_tra","tra","ovr_var","ovr_tje","ialt"
"1",1994,8198.15,19003.18,26390.07,9612.39,2734.79,14171.24,30688.79,26373.59,137172.2
"2",1995,8730.41,19407.43,26219.36,8868.63,2511.05,16808.69,30198.97,25543.3,138287.84
"3",1996,7939.33,18979.05,27623.44,9476.07,2780.96,12299.12,30692.6,23963.64,133754.21
"4",1997,8980.83,21644.35,29685.26,10773.98,3831.78,15881.22,32338.05,25971.52,149106.99
"5",1998,9426.8,20883.58,31233.57,10600.32,3279.08,13265.61,32740.32,27907.07,149336.35
"6",1999,9006.48,21503.25,31706.01,10947.09,4574.3,13465.48,33732.92,32029.42,156964.95
"7",2000,8793.44,20824.08,32404.48,11692.94,4967.33,13663.36,33161.8,32319.53,157826.96
"8",2001,8535.43,21105.71,38351,13255.04,5127.81,17013.32,35333.44,32987.44,171709.19
"9",2002,8364.03,20160.88,37326.49,12568.8,4051.7,15912.42,32613.82,31686.44,162684.58
"10",2003,8514.54,20111.66,34786.45,13677.49,4199.51,15102.42,32425.63,32799.07,161616.77
"11",2004,8518.74,20209.44,39768.11,11028.26,3945.28,11284.9,30086.11,29312.92,154153.76
"12",2005,8133.99,21972.83,39498.19,12236.7,6901.81,15252.78,29838.26,33179.45,167014.01
"13",2006,9316.45,20477.84,39596.84,12938.79,7083.16,19985.68,39150.38,34934.22,183483.36
"14",2007,10391.33,20820.77,49102.2,15653.63,5196.46,22695.2,51860.79,41059.18,216779.56
"15",2008,11014.36,20209.02,43560.65,14653.39,4261.42,22198.27,46518.54,40601.67,203017.32
"16",2009,10246.59,20773.94,47354.68,14841.88,3679.97,17336.12,40971.33,41673.53,196878.04
"17",2010,10137.46,20624.18,46444.73,17056.73,4764.24,18922.45,38571.95,43751.97,200273.71
"18",2011,11025.78,23962.77,47792.12,16678.14,5906.53,23557.04,37503.62,47693.26,214119.26
"19",2012,10574.4,22653.3,47955.39,16074,5959.71,19316.54,38316.04,45254.52,206103.9
"20",2013,9933.42,22515.63,44552,15341.62,4772.51,15507.1,29925.99,38298.53,180846.8
"21",2014,9287.62,19083.14,45414.08,15347.05,3589.68,10135.09,33150.67,36474.04,172481.37
"22",2015,9369.79,19959.47,47271.14,17542.03,3173.07,14766.26,30021.73,40719.45,182822.94
"23",2016,10192.33,20601.36,48124.98,14174.98,3614.25,15115.86,23284.51,40471.6,175579.87
"24",2017,10017.73,23038.21,51246.58,16336.72,3539.68,12713.46,24673.24,44733.44,186299.06
"25",2018,10065,23066.28,54263.74,18223.18,3101.38,17266.43,28398.07,50258.35,204642.43
"26",2019,10327.23,22086.82,52521.3,18967.65,3861.54,16202.52,31410.55,42649.44,198027.05
