"","aar","kod_fisk_mej","ovr_fode","bol","ene_hje","ene_tra","tra","ovr_var","ovr_tje","ialt"
"1",1994,12538.61,27448.15,51205.35,14367.36,8335.25,42243.6,56379.21,50483.25,263000.78
"2",1995,12855.9,28362.8,52952.59,14585.35,8494.08,41734.12,59259.26,53060.43,271304.53
"3",1996,12941.71,29190.67,57749.87,16986.7,8577.94,43720.47,66817.28,54302.32,290286.96
"4",1997,13119.85,30200.2,67082.07,18521.93,8974.38,47256.78,70311.66,62333.51,317800.38
"5",1998,13899.99,30295.56,69846.97,19400.26,9311.54,48312.42,70078.93,67183.04,328328.71
"6",1999,13600.3,31527.58,71135.33,18947.08,11060.73,47572.23,73056.58,71294.48,338194.31
"7",2000,14278.2,32068.77,74503.26,19685.93,12141.24,46695.13,71197.42,68450.31,339020.26
"8",2001,14317.42,32162.96,77292,21000.01,12774.92,51912.84,74025.53,69985.26,353470.94
"9",2002,14861.45,32471.14,76824.98,23179.54,12000.45,57815.02,71897.55,69357.7,358407.83
"10",2003,14420.15,33778.59,73352.99,22601.13,11708.7,53430.32,75147.02,76532.19,360971.09
"11",2004,14626.11,32772.86,74373.69,22591.9,11028.51,59411.49,77577.19,78312.58,370694.33
"12",2005,14173.84,31478.69,76028.66,24363.55,13619.48,57728.98,88931.62,84391.64,390716.46
"13",2006,15657.09,29307.2,74076.26,25170.04,14584.2,62843.42,129084.28,99759.89,450482.38
"14",2007,17898.23,32858.45,78837.17,25662.7,14390.29,66185.41,111627.84,119102.89,466562.98
"15",2008,18887.69,33664.6,87073.94,27429.98,14545.92,63065.53,100555.22,114947.67,460170.55
"16",2009,17329.74,34035.22,91180.43,24992.03,13291.34,49292.45,88473.47,102271.86,420866.54
"17",2010,17661.99,34074.61,99541.73,29871.24,14027.5,61521.36,96842.9,106363.23,459904.56
"18",2011,17668.19,34914.72,104181.66,28621.42,14429.52,64740.46,92986.15,111839.96,469382.08
"19",2012,18448.36,36773.48,110517.81,30002.19,15018.5,70932.95,95900.02,118676.64,496269.95
"20",2013,20077.84,40586.89,127208.08,33611.08,13845.78,71082.15,100671.59,121439.68,528523.09
"21",2014,21448.1,42267.47,134434.3,34480.9,14731.05,68747.89,93380.89,123373.21,532863.81
"22",2015,20832.46,38390.67,129502.5,28928.86,12971.34,64099.47,85036.73,119086.14,498848.17
"23",2016,19478.2,38573.65,126900.65,27017.42,11926.73,61883.85,85030.06,117589.73,488400.29
"24",2017,19661.27,40244.99,131578.6,29197.53,11228.78,66814.27,96282.38,120842.59,515850.41
"25",2018,19762.77,41515.22,135403.53,29677.15,10921.84,76081.46,105957.18,126309.98,545629.13
"26",2019,19077.57,40011.36,135567.58,27976.7,10156.79,73306.18,85935.31,127581.54,519613.03
