"","aar","kod_fisk_mej","ovr_fode","bol","ene_hje","ene_tra","tra","ovr_var","ovr_tje","ialt"
"1",1994,10894.29,24841.4,44741.53,12448.22,7271.63,32204.09,49049.16,39160.4,220610.72
"2",1995,11835.73,26494.81,47449.18,13290.22,8084.4,35866.53,48551.87,43256.72,234829.46
"3",1996,12190.63,27842,47495.12,15534.12,8162.09,40807.93,54456.84,46008.75,252497.48
"4",1997,11424.62,28621.97,53757.77,14979.48,8282.31,38563.32,52198.69,50121.03,257949.19
"5",1998,12174.2,29438.21,58580.17,16384.05,9098.62,33924.73,62256.41,54035.93,275892.32
"6",1999,12312.22,29809.8,56693.86,16095.29,10039.64,36165.25,61369.52,55835.11,278320.69
"7",2000,12824.05,29550.24,58633.96,17255.25,11396.09,33878.21,64321.68,56802.74,284662.22
"8",2001,13005.96,29772.47,58384.99,18707.06,10644.85,33428.2,60582.33,59757.56,284283.42
"9",2002,12564.79,29831.61,61031.6,19827.7,11056.9,36949.8,66548.37,60877.16,298687.93
"10",2003,13283.31,32299.7,60102.06,20786.2,10821.84,33609.41,65756.14,65104.04,301762.7
"11",2004,13603.93,32121.26,61114.73,20708.83,12113.63,40364.35,70554.26,67520.08,318101.07
"12",2005,14556.15,33156.09,61758.33,22602.06,13289.43,46394.15,75646.05,77202.07,344604.33
"13",2006,14961.37,29782.72,65718.43,23387.36,14479.38,57657.48,80305.65,85527.81,371820.2
"14",2007,16711.31,32494.07,72085.09,22873.5,13820.21,56508.5,84052.78,89866.57,388412.03
"15",2008,16020.07,30590.69,76870.99,23505.47,12132.17,49950.87,73845.23,86582.71,369498.2
"16",2009,14576.03,29163.1,73413.66,21759.42,9862.93,40038.71,67325.96,77662,333801.81
"17",2010,15505.02,30651.59,77433.51,27185.41,11805.12,47840.49,72149,82238.32,364808.46
"18",2011,16604.87,33034.62,79042.76,24379.69,14794.66,50567.01,76155.49,86399.04,380978.14
"19",2012,17292.92,33011.95,82275.83,26203.83,16167.99,49327.15,78565.04,95075.28,397919.99
"20",2013,16801.42,33234.12,84562.3,25548.96,12658.4,56264.66,75006.52,92725.6,396801.98
"21",2014,18062.97,36704.95,90908.37,27959.73,14637.22,61348.48,79464.52,100181.09,429267.33
"22",2015,17324.64,34976.77,81937.52,25093.14,11931.03,57140.91,65686.39,96046.26,390136.66
"23",2016,17652.85,32363.76,92352.91,25664.33,11493.53,55636.12,63676.39,102720.38,401560.27
"24",2017,16402.37,31943.18,97275.03,27681.33,10218.34,55364.31,59724.67,104312.65,402921.88
"25",2018,16790.63,32436.18,99315.82,25080.98,10643.98,46722.67,61520.65,103952.14,396463.05
"26",2019,17786.5,37665.66,110294.84,24423.36,11576.92,52415.96,76690.81,102311.7,433165.75
