"Aar","Pris kod_fisk_mej","Pris ovr_fode","Pris bol","Pris ene_hje","Pris ene_tra","Pris tra","Pris ovr_var","Pris ovr_tje"
"1994",0.671747967479675,0.631678124741158,0.610187311960144,0.548475928211946,0.477731353898124,0.729196095049754,0.843480101608806,0.70105085652004
"1995",0.69661155466147,0.654571416572173,0.600981854337559,0.551366017964072,0.518555667001003,0.740649637338379,0.850778303361187,0.574232623033993
"1996",0.714202786377709,0.678991667903407,0.611977957338782,0.583586358635864,0.566625859308786,0.738774512798583,0.863600935307872,0.58387266887195
"1997",0.744033138273391,0.696123740527937,0.62709662350554,0.596612615671959,0.583618071374336,0.757412634213053,0.869883213400967,0.598622151563328
"1998",0.749887827703352,0.715268683089076,0.640348660939869,0.622464567597386,0.562284678150499,0.771995006539056,0.899384183653584,0.607718563561267
"1999",0.757976806656621,0.721191275513356,0.658802688187161,0.652434658073756,0.628946006555115,0.789742535889381,0.924351444906849,0.63602025803531
"2000",0.781754065173382,0.736720652058855,0.678735296571286,0.711190004149569,0.726031114327062,0.784793561473533,0.925308067891188,0.658947003209298
"2001",0.817938144329897,0.759781255557532,0.697708836546919,0.733468054002924,0.718506284980273,0.806447125917168,0.933707754458567,0.68338488731772
"2002",0.834349379861257,0.77413042977832,0.721238624945159,0.770547945205479,0.715958864978099,0.847051659393078,0.94537417113988,0.713901467951251
"2003",0.837282229965157,0.781274388284442,0.742040323276482,0.766928864569083,0.717448159910331,0.883042628645871,0.960338680926916,0.74418535037567
"2004",0.828504201680672,0.75426203898662,0.761863614471485,0.774950163294736,0.754670778160711,0.922266945741427,0.967187324418474,0.773261106385519
"2005",0.824340796817861,0.770751601391937,0.781361710350158,0.809083651947397,0.826908541194255,0.939310185984914,0.966430467944056,0.792855293107443
"2006",0.84520295202952,0.781689978569947,0.798847027800376,0.847591747749203,0.874618473895582,0.940224190561978,0.966649830435096,0.818375264366623
"2007",0.872133931820939,0.813066465256798,0.821565028214019,0.854520849192252,0.881099717114569,0.953358883505676,0.97848187300256,0.838833076678644
"2008",0.934240079860245,0.863105541604701,0.845055327813949,0.904647940546668,0.958043927163507,0.963232980174132,0.979390833166093,0.866029593094945
"2009",0.922515477354187,0.871258662210645,0.870973701225869,0.89610104819964,0.86510350240361,0.964872576994982,0.993100075113106,0.905523097084198
"2010",0.916498613561886,0.897349311938252,0.893992333967824,0.959312429165093,0.980331469648562,0.975331740594686,0.990016157836551,0.928247309616835
"2011",0.955253289264603,0.930075403762361,0.918980992608237,1.00983676065296,1.10485101189871,0.977120596949413,1.00238971550175,0.959697837546175
"2012",0.997036846173667,0.977704790269157,0.946024730191442,1.02737839001291,1.1775420550734,0.978735799592193,1.01159581331995,0.976624842150514
"2013",0.98831805860333,0.994600341325574,0.967073269029259,1.04668304668305,1.13465783664459,0.981402167351749,1.00491226798144,0.976331360946746
"2014",1.00390000639345,0.984371548486857,0.982979507010759,1.06311464661917,1.10042858797637,0.979818879692935,0.996953711271268,0.993469242459508
"2015",1,1,1,1,1,1,1,1
"2016",0.985693940963231,1.00680749116195,1.01737669705064,0.977089201877934,0.939095503433977,0.996458158242286,0.987973909498573,1.00952712584442
"2017",1.02253407097558,1.01914266538271,1.03475539225692,0.965410074265418,0.986259541984733,0.996856193299201,0.969576285104286,1.01683428664372
"2018",1.03273613489659,1.01525480554314,1.0466837273111,0.95874884857223,1.04655674102813,0.995699510070768,0.950541695277333,1.03449357575124
"2019",1.04808155955087,1.02738496071829,1.0609240142156,0.964655348742074,1.05208053691275,1.00726070818997,0.9493439753026,1.04507662758056
