"9",2002,28793.15,113.4,82.51,2450.06,1061.73,103.18,224.21,305.62,103.76,1490.12,1056.73,121.37,833.06,23.15,30.76,1244.3,1440.67,289.57,96.81,64.05,90.69,151.26,516.64,756.17,421.06,1.45,453.42,1476.5,499.69,394.97,454.12,144.2,36.45,43.19,12.38,1588.77,14.96,276.93,77.54,1743.37,167.57,449.64,501.56,260.61,8.48,143.32,233.52,951.06,1296.46,592.88,8.48,520.61,248.93,66.63,74.22,158.87,749.14,149.31,33.54,136.27,1143.44,609.79,8372.12,712.8,15.38,2251.21,35.27,79.71,0,1319.51,14.04,9.49,0,3129.9,108.5,696.31,0,11401.21,82.14,2549.42,4625.23,1323.46,309.52,120.31,218.46,26.24,588.63,1086.37,433.57,37.86,70394.81,17952.64,74.95,22987.36,1307.69,1818.37,0,0,147.27,0,0,2292.75,1404.02,1658.95,1504.88,41.73,1430.06,5793.08,1542.03,27.64,1356.12,46.62,485.74,8522.91,14655.39,2951,803.64,307.29,887.21,399.5,0,0,175.87,399.3,547.15,241.48,0,84.05,442.97,840.13,419.53,128.35,119.39,45.42,64.05,78.11,26.56,19.61,47.38,143.51,357.46,66.29,894.6,348.7,116.15,391.65,555.57,9.42,751.07,982.48,439.42,44.23,526.85,5925.77,1964.08,10.76,76.68,956.11,0,13.39,0,110.4,52.89,1873.03,0,835.97,32.46,32558.24,0,10205.05,195.83,583.71,0,1498.9,0,434.63,7020.78,0,63.18,3253.43,2140.47,2611.22,397.2,0,0,0,498.09,110,794.18,388.45,2177.15,119.92,66.05,5396.2,292.18,53.29,270.9,0,4133.02,217.41,422.66,6.74000000000001,25615.41,614.28,958.01,18.31,319.15,1.99,1159.16,544.07,56.27,17.64,1148.63,0,90.67,68.24,646.71,211.97,0,60.42,100.6,8.23,593.5,1244.47,371.51,321.27,1.07,122.33,1748.51,135.87,751.7,517.45,282.09,714.36,882.31,325.23,2758.49,220.68,380.35,0,1470.92,856.94,204.07,29.15,0,1190.43,787.29,233.32,127.12,118.77,128.1,3073.76,993.67,278.88,152.33,180.96,381.5,10167.72,7330.28,31.01,789.02,978.66,954.81,83.94,19115.29,427.24,1330.97,274.83,103.82,24.13,195.62,2853.84,0,529.8,193.3,79.5,440.26,189.22,0.69,135.39,2727.02,141.37,634.67,2621.46,710.18,3295.98,71.19,873.86,447.39,121.93,65.24,256.66,273.99,95.74
"10",2003,29160.29,140.41,84.39,2513.22,1127.92,99.3,223.9,314.4,111.65,1438,1078.7,102.74,835.95,16.08,27.64,1312.2,1458.57,253.15,104.53,40.33,100.81,149.06,544.83,698.79,475.01,2.79,474.51,1514.9,510.44,403.91,469.52,152.65,38.59,42.02,13.64,1646.29,12.33,275.24,81.04,1750.8,160.43,428.98,522.45,277.57,9.92,151.88,235.21,977.75,1336.08,612.51,7.43,532.64,246.88,68.95,51.12,168.36,674.58,141.79,26.68,133.56,1147.5,607.77,8443.9,775.67,28.12,2317.89,43.12,66.48,0,1309.67,12.85,7.37,0,3143.72,87.27,651.74,0,11522.94,74.65,2655.34,4505.91,1428.87,297.41,129.5,239.64,29.9,595.79,1101.23,428.82,35.88,71192.88,18359.73,66.03,23094.29,1259.83,1968.19,0,0,176.74,0,0,2167.69,1484.25,1653.27,1588.88,44.17,1390.41,6377.6,1391.53,20.79,1669.54,41.28,580.38,7858.28,15072.37,3226.88,672.41,346.84,930.73,474.02,0,0,228.29,278.49,507.6,214.31,0,82.27,454.22,881.75,446.16,137.81,127.1,49.41,125.84,58.38,39.55,9.51,63.4,72.73,358.3,51.98,949.91,476.68,88.79,403.95,552.48,16.03,771.11,960.41,441.04,85.72,488.27,6304.8,1939.14,10.74,79.31,1152.75,0,8.69,0,112.47,45.59,2015,0,848.42,92.69,32084.06,0,9639.65,292.83,490.5,0,1314.93,0,520.1,7097.96,0,63.07,3427.49,1880.07,2738.81,389.45,0,0,0,432.22,91.32,864.64,459.3,2195.9,140.94,44.88,5587.77,294.06,38.65,223.21,0,4159.49,213.63,664.67,-5.94,26436.27,573.5,1128.06,20.31,396.48,2.19,1267.76,533.17,50.71,16.04,1115.69,0,91.21,86.17,854.14,238.62,0,41.92,154.64,4.83,597.48,1380.35,359.06,459.24,1.98,159.99,1759.36,154.12,795.47,580.58,302.53,703.04,854.38,327.58,2902.94,193.06,347.21,0,1532.56,825.08,199.38,28.48,0,925.72,807.43,213.24,132.65,113.12,113.89,3090.91,910.52,215.07,145.26,158.23,391.96,9730.75,7065.29,31.68,769.44,745.01,1044.88,74.45,22108.74,418.75,1321.13,288.76,82.59,15.62,187.68,2999.39,0,615.12,251.67,54.37,450.22,238.82,0.33,139.11,2841.58,145.81,598.87,3507.46,815.18,4529.7,90.07,1129.27,474.14,140.46,87.14,322.01,284.27,79.22
"11",2004,29567.74,126.97,78,2414.89,1107.01,100.72,227.53,328.12,106.69,1614.63,1104.89,99.73,876.74,19.15,40.45,1336.99,1430.41,269.71,119.69,41.14,96.03,146.65,565.68,638.82,482.33,4.49,484.95,1535.83,540.72,399.67,473.97,141.31,42.82,43.96,15.97,1730.69,19.54,315.01,82.65,1851.65,183.65,422.36,536.22,299.28,14.02,152.95,225.64,967.47,1311.99,624.68,5.9,538.9,242.35,55.71,54.82,173.57,735.54,136.84,26.86,122.01,1110.01,570.77,8077.79,720.5,24.29,2274.78,26.99,86.6,0,1202.06,12.08,6.18,0,3037.53,78.46,608.32,0,11994.17,70.25,2578.12,4806.52,1428.3,329.43,135.67,224.12,24.38,700.27,1173.09,485.85,38.17,73736.5,19421.26,64.13,24161.84,1425.51,1819.7,0,0,187.91,0,0,2313.23,1472.04,1683.71,1599.35,38.69,1278.59,6337.07,1534.68,16.09,1540.95,37.46,634.67,8169.62,15301.15,3393,584.58,349.51,954.93,462.22,0,0,230.51,258.52,531.59,176.05,0,63.56,449.02,857.62,392.5,119.4,159.9,62.97,110.46,56.32,41.07,8.21,64.14,101.67,330.44,77.44,938.44,523.91,121.58,364.12,574.08,34.4,760.18,999.35,489.97,94.46,565.03,6573.68,1868.24,5.72,102.69,1256.72,0,10.83,0,76.95,44.85,2045.44,0,1040.75,121.49,36962.92,8992.89,4228.31,364.94,650.14,0,1260.15,0,722.92,7543.02,0,55.08,3715.7,1768.61,2853.18,456.86,0,0,0,440.08,151.16,933.74,373.35,2246.3,169.22,37.27,6005.4,309.4,38.13,237.47,0,4190.41,248.91,928.76,52.32,28113.47,584.86,1438.09,33.89,473.17,0,1404.42,530.06,76.34,17.28,1039.75,0,74.53,80.59,839.94,753.5,0,131.78,220.12,10.94,526.23,1316.35,295.25,312.58,2.18,148.94,1816.69,202.8,1005.93,622.81,384.23,692.11,822.81,331.02,3157.78,168.46,248.33,0,1622.42,824.23,204.42,29.2,0,1008.84,801.1,211.83,136.27,114.41,172.3,3224.69,976.49,228.38,166.29,172.7,409.12,10057.1,7303.39,33.14,824.94,800.42,1047.86,47.35,22799.41,432.18,1430.27,258.78,86.1,5.85,198.18,3120.83,0,760.76,242.39,62.92,460.99,168.37,0.11,145.28,3013.45,150.02,866.59,3389.33,753.47,4524.6,83.59,1167.74,546.13,209.32,82.98,299.7,250.87,88.61
"12",2005,30957.91,120.72,77.3,2519.2,1223.14,100.08,235.73,324.3,105.3,1750.2,1082.07,106.92,928.87,10.7,37.23,1382.2,1531.72,307.51,124.26,51.01,89.34,149.59,620.01,583.63,537.68,4.98,531.81,1569.34,571.12,408.68,468.68,148.26,41.62,41.98,10.99,1893.58,25.52,356.23,86.36,1976.72,203.79,430.61,559.58,306,16.73,156.12,236.51,994.04,1367.23,668.14,10.36,563.32,257.91,61.83,53.77,182.07,804.42,152.9,27.55,111.35,1076.36,582.74,8331.05,745.66,24.71,2331.78,23.98,103.63,0,1266.77,13.36,6.67,0,3116.91,75.1,622.48,0,12787,75.99,2710.54,4992.95,1623.27,423.97,147.23,222.94,24.54,654.65,1395.95,486.65,28.32,77741.2,20137.37,79.72,25796.76,1686.88,2129.11,0,0,207.95,0,0,1954.55,1455.37,1873.31,1596.08,47.55,1519.56,6668.76,1632.64,18.3,1824.92,51.4,848.7,8212.27,16531.38,3971.13,506.08,375.47,1080.01,482.68,0,0,214.38,224.81,576.12,143.62,0,72.6,464.8,898.76,346.25,143.28,165.54,56.34,29.93,63.14,30.53,13.81,57.84,63.05,447.48,84.15,1049.03,645.16,70.98,470.67,679.64,67.59,834.48,1085.51,422.41,135.29,558.82,7196.28,1939.86,7.08,77.66,1665.49,0,0,0,78.38,49.23,2224.09,0,1020.82,133.67,42473.98,11317.34,4624.69,481.73,693.13,0,1507.18,0,1035.66,8762.21,0,48.39,3966.17,1681.31,3120.47,548.85,0,0,0,499.69,179.35,1110.13,286.82,2372.08,185.38,53.4,6074.29,279.61,43.76,326.5,0,4008.26,239.2,1101.16,75.8,31883.92,1089.97,1623.46,36.85,527.6,15.63,1550.46,623.46,88.24,29.9,1026.27,0,89.39,95.11,706.15,1689.56,0,89.9,292.42,5.57,616.52,1370.57,186.27,393.35,4.09,207.52,1877.67,196.83,1020.22,501.87,448.99,675.23,1013.99,401.4,3397.91,146.52,215.11,0,1693.21,988.54,245.55,35.08,0,1141.38,825.28,185.36,142.93,138.48,95.09,4139.02,1087.02,251.68,235.45,120.04,479.85,12016.29,8780.46,50.55,962.26,1033.55,1143.14,46.33,25896.84,490.37,1581.92,329.17,84,44.13,252.24,3471.2,0,910.08,263.84,47.3,559.86,111.87,0.2,126.26,3445.88,138.51,1116.35,3746.23,829.06,5117.86,100.99,1429.48,576.64,353.67,89.28,424.18,145.9,110.37
"13",2006,32379.1,126.67,78.68,2724.4,1215.56,120.37,231.48,325.45,108.72,2132.76,1222.81,83.03,944.88,19.36,39.2,1407.65,1665.72,412.32,157.92,57.24,70.08,171.16,674.97,594.18,575.9,3.1,572.93,1448.8,595.3,438.39,456.21,154.32,40.76,46.99,7.53,1974.48,27.02,389.45,96.3,1996.5,194.52,439.93,578.17,312.28,22.03,159.31,244.68,977.56,1319.43,691.68,15.94,563.93,232.01,80.59,45.85,188.42,831.64,144.23,31.06,128.1,1123.25,645.9,7644.93,701.28,12.46,1857.99,24.68,124.99,0.04,1022.52,11.77,5.41,0,3165.38,84.02,634.39,0,15024.04,138.5,3274.37,5878.12,1608.5,506.68,116.91,165.17,46.07,1137.17,1615.41,496.26,40.88,79660.83,20429.59,70.39,25504.34,1564.54,1937.54,0,0,260.72,0,0,2694.3,1365.65,1713.48,1541.47,50.22,1534.24,7423,2072.65,24.87,2138.37,83.34,1506,7746.12,17016.8,4556.98,656.61,320.41,926.41,378.65,0,0,122.03,119.93,637.52,200.52,0,63.59,469.16,924.17,347.49,151.34,154.51,62.41,29.18,44.71,22.68,12.16,71.79,46.65,465.66,116.59,1065.23,588.19,69.26,480.19,697.64,68.07,881.13,1193.07,423.52,78.38,570.97,8083.54,2581.73,9.09,104.05,1817.15,0,0,0,110.56,31.97,2341.14,0,1017.74,70.11,48465.23,11296.92,7481.47,206.79,658.59,0,2285.89,0,1531.23,9277.9,0,80.42,4715.5,1816.9,3355.9,551.81,0,0,0,531.81,193.89,1328.22,275.58,2597.35,182.63,96.43,6303.78,293.62,28.75,451.4,0,4063.4,72.41,1291.62,102.58,39053.2,1361.04,2108.43,46.84,496.6,5.5,1534.45,843.11,87.98,35.24,1117.26,0,98.23,118.2,1068.14,4758.71,0,103.04,272.2,39.74,733.31,1630.61,313.01,501.14,2.23,314.88,2139.1,139.65,1009.23,547.55,456.76,712.35,935.17,339.13,3726.59,115.82,226.63,0,1627.66,979.96,246.26,35.18,0,1346.75,941.81,194.51,137.19,180.47,120.03,5305.51,1435.46,296.5,385.97,152.09,600.9,13297.82,9860.23,74.34,926.13,1275.03,1107.8,54.29,28172.78,447.25,1603.75,303.4,108.03,83.38,302.79,3779.32,0,853.2,181.39,52.81,713.76,68.27,0,128.18,3606.04,113.97,1450.39,3998.55,924.17,5695.07,114.82,1739.3,730.08,411.01,87.02,314.44,295.26,67.13
"14",2007,34241.79,145.8,82.35,2792.67,1288.63,116.89,287.32,350.41,135.67,2040.06,1312.99,105.45,970.75,22.37,45.53,1498.66,1809.13,496.89,167.32,72.42,68.37,186.49,749.66,563.94,626.49,2.36,610.22,1485.51,637.01,467.08,442.32,170.94,62.02,79.61,8.33,2147.29,33.87,452.2,94.53,2139.85,203.93,492.19,665.95,305.03,36.08,140.45,256.1,1043.7,1303.73,706.73,13.94,639.65,275.3,77.91,46.91,187.98,791.64,172.62,32.19,170.39,1171.36,738.61,7292.91,691.94,25.62,2050.32,43.49,93.61,0.2,997.01,12.63,1.86,0,2715.19,67.73,593.31,0,16449.14,156.65,3403.29,6775.96,1851.56,517.97,160.34,198.98,37.52,1119.63,1612.26,563.62,51.36,82248.82,20794.53,99,24552.72,2034.53,2637.04,0,0,227.07,0,0,4719.14,1544.17,1623.51,1756.56,68.77,1986.87,7028.71,2235.53,16.71,1448.95,31.89,1080.68,8362.44,18494.59,4976.77,656.78,475.26,899.01,388.94,0,0,171.03,181,694.19,167.43,0,117.53,426.43,1069.94,484.05,211.28,155.43,40.49,31.04,180.33,9.69,17.55,115.98,46.63,534.3,76.21,1105.83,423.66,86.22,464.65,772.91,55.23,956.99,1235.09,464.61,108.82,693.29,8556.33,2886.62,8.32,106.58,1934.71,0,0,0,131.78,67.43,2420.34,0,890.5,110.05,49522.11,11874.79,7201.27,828.01,663.49,0,2074.46,0,1577.82,8315.84,0,72.95,4785.16,2529.44,3545.94,547.4,0,0,0,524.33,212.28,1438.34,388.16,2702.04,171.48,68.91,6780.04,314.55,25.11,490.44,0,4150.89,103.02,1527.1,168.93,38962.5,1256.74,2011.53,27.37,507.58,69.39,1727.55,887.35,101.49,44.43,1011.63,0,71.66,118.59,930.07,1962.16,0,27.75,230.59,39.44,825.22,1873.5,218.41,478.88,9.44,305.22,2337.01,173.91,1116.5,620.69,561.75,868.86,1164.11,470.27,4139.08,121.95,338.25,0,1992.92,1064.77,264.71,37.82,0,1207.49,925.76,186.44,109.23,157.32,82.32,6285.35,1687.78,494.71,485.32,90.81,616.94,16431.06,12048.08,82.5,1036.52,1694.33,1438.82,130.81,27365.76,468.74,1658.24,373.76,100.84,58.86,298.2,3981.42,0,870.5,146.09,68.99,553.68,89.55,0.1,233.48,3216.33,151.97,1254.56,3919.29,981.93,5189.28,150.37,1705.23,800.47,239.89,70.63,313.38,388.16,81.82
"15",2008,35252.51,179.64,98.31,2748.22,1276.48,114.04,334.6,391.32,166.28,2208.15,1318.46,131.73,1008.32,24.16,55.33,1541.31,1851.06,554.54,190.93,75.38,79.83,215.61,822.37,506.29,628.24,3.21,595.87,1597.33,614.23,500.73,453.46,181.45,86.47,78.13,10.07,2223.68,47.67,546.56,119.32,2182.44,203.39,536.95,654.9,284.98,51.44,136.83,257.73,1042.79,1248.64,649.29,8.69,680.58,296.29,73.89,50.38,213.46,800.36,192.77,35.46,178.33,1134.48,759.66,7564.17,722.96,35.18,2395.07,85.15,127.26,3.58,1062.1,14.68,0.7,0,2561.24,74.73,481.52,0,16684.67,141.78,3444.79,7104.73,1645.83,598.7,147.7,267.74,45.64,978.04,1697.8,574.25,37.67,86699.5,21589,80.98,26363.6,2428.08,2188.25,0,0,197.88,0,0,4544.29,1649.01,2073.08,1943.39,78.27,2018.23,7406.44,2538.27,23.58,1477.69,31.94,1126.67,8940.85,18140.73,4506.52,543.41,619.77,841.09,353.83,0,0,231.46,113.89,604.17,129.34,0,107.73,463.89,1017.17,491.72,197.05,164.9,56.24,128.09,140.84,7.43,8.09,129.44,77.12,481.46,69.09,1298.34,473.96,81.12,410.12,752.3,57.37,916.97,1252.59,404.86,167.8,841.56,8223.15,2777.29,4.93,115.53,1519.94,0,0,0,144.93,85.01,2558.39,0,952.81,64.32,46935.17,10266.8,5466.02,831.84,718.56,0,1825.46,0,1921.41,8211.73,0,73.92,5160.77,2844.73,3413.03,500.5,0,0,0,508.25,309.19,1594.82,486.26,2595.65,142.51,63.72,6828.98,261.3,27.73,405.26,0,4120.2,112.75,1706.97,194.77,36390.98,590.21,2124.74,25.16,453.59,79.49,1629.24,851.9,109.51,25.27,884.29,0,113.17,90.34,650.08,96.59,0,34.61,165.16,18.63,1061.37,1546.14,305.58,408.16,7.24,282.9,2087.65,174.18,1147.61,764.99,518.92,1112.18,1363.34,428.81,4403.65,91.59,418.37,0,1707.73,1026.34,261.24,37.32,0,1256.26,863.74,186.44,120.75,132.58,123.67,6610.25,1540.89,523.38,396.28,60.45,560.78,17158.28,12602.37,85.59,1056.97,1662.9,1562.7,187.75,26674.49,457.32,1679.86,347.56,102.93,19.54,292.43,3870.17,0,932.42,177.24,89.16,568.45,77.63,1.5,222.5,3158.94,217.87,1105.78,3881.95,1065.58,4735.21,172.41,1579.63,731.64,234.75,79.22,274.44,498.08,100.28
"16",2009,33581.23,185.96,101.67,2347.01,1229.46,104.05,311.26,394.81,177.38,1927.91,1213.07,140.77,995.59,11.91,54.06,1466.9,1724.64,376.16,156.12,69.45,79.58,215.31,801.7,471.49,615.9,3.27,551.91,1768.19,594.91,478.88,437.93,184.25,80.66,74.71,11.38,2098.2,66.35,604.27,123.35,2065.7,197.95,545.75,603.78,266.69,55.24,131.24,251.27,1007.13,1219.25,635.09,9.57,679.46,305.67,68.24,44.28,193.19,836.52,216.01,33.13,171.56,1032.7,761.39,8014.63,696.83,30.3,2756.74,116.64,116.22,3.52,1261.01,18.17,0.94,0,2511.09,42.51,460.66,0,14713.01,100.9,3045.04,6400.97,1595.93,570.01,185.71,228.35,24.09,643.75,1413.42,470.56,34.28,88741.03,22539.06,58.81,28504.64,2386.93,2058.73,0,0,191.26,0,0,4106.41,1784.96,2303.83,2145.2,81.44,2147.56,7119.08,2232.71,18.04,1243.92,55.14,1244.03,8519.28,16271.71,3799.93,347.23,357.76,737.78,358.29,0,0,208.59,116.56,586.41,120.27,0,103.64,403.9,809.42,415.13,212.97,170.87,39.61,224.2,153.26,7.3,13.99,145.22,109.2,549.51,33.86,1162.2,435.92,69.56,348.8,780.13,56.65,848,1221.53,472.22,95.51,756.29,7585.42,2272.5,1.62,100.72,1278.37,0,0,0,120.2,61.03,2688.34,0,1006.83,55.81,38236.63,7848.14,2907.13,413.24,581.42,0,1468.02,0,1844.18,6896.28,0,77.96,4527.57,2399.29,3307.25,496.99,0,0,0,521.08,346.31,1513.7,437.66,2427.81,166.64,55.96,6722.34,263.66,20.37,436.14,0,1315.55,2606.49,1824.43,255.7,32563.24,493.61,2056.93,50.8,374.81,50.54,1528.91,727.11,93.69,9.31,775.72,0,90.66,72.49,441.73,143.37,0,89.24,199.88,33.02,988.83,1442.71,218.13,296.11,0,314.65,1983.79,184.4,1128.69,730.58,471.95,939.54,1251.42,423.51,4253.34,79.11,290.66,0,1398.65,864.8,224.82,32.12,0,1139.56,745.58,197.24,118.29,115.36,121.32,5376.26,1518.76,561.45,433.78,40.06,483.47,14746.86,10529.89,76.67,1023.87,1377.85,1519.98,218.6,26792.52,519.41,1880.23,321.05,124.78,18.43,259.69,3522.75,0,922.15,105.77,96.64,536.68,61.31,1.82,211.43,3269.95,292.23,1181.71,4052.24,1044.39,4740.28,196.47,1720.79,560.74,164.43,68.25,391.25,433.07,94.58
"17",2010,34147.29,170.38,128.94,2310.05,1251.91,90.28,291.66,391.81,185.89,1934.35,1158.27,215.69,1086.75,44.77,50.54,1476.74,1776.97,386.2,135.37,78.35,98.05,230.02,790.51,465.81,605.51,7.87,589.22,1787.67,643.48,507.05,474.07,192.44,74.93,65,10.39,2098.98,84.28,643.22,138.83,2076.3,206.23,594,580.79,285.24,57.27,135.05,271.35,1047.27,1292.42,615.99,10.92,695.58,330,76.06,51.91,207.15,841.78,202.49,32.66,150.57,1030.22,683.79,7870.67,650.05,16.84,2475.46,122.19,104.39,5.26,1201.75,15.79,2.58,0,2861.79,40.36,374.21,0,14825.74,71.02,3063.35,6217.23,1675.77,636.88,176.71,176.98,29.79,763.05,1479.98,490.78,44.2,96205.9,24285.87,52.87,30904.4,2439.02,2041.05,0,0,178.03,0,0,2730.5,1788.61,2241.96,2176.28,72.98,1901.36,7453.47,2918.95,30.94,1330.85,70.29,1860.83,11727.64,17344.64,3857.22,337.71,414.86,802.11,426.53,0,0,161.04,217.89,598.74,137.34,0,119.29,478.95,868.61,440.72,219.19,177.25,71.53,325.23,90.88,9.52,24.77,118.42,127.99,651.21,36.74,1455.32,508.91,53.79,381.99,734.5,44.52,844.82,1232.73,453.87,224.06,696.39,7535.97,2210.98,4.64,164.89,1192.31,0,0,0,163.51,22.61,2722.19,0,1026.36,28.48,43702.72,9878.51,4700.03,416.21,821.7,0,1321.49,0,2129.74,7601.27,0,88.46,4819.53,2457.96,3393.81,508.62,0,0,0,490.87,333.08,1529.03,486.13,2409.94,245.04,71.3,7138.18,227.73,18.84,602.41,0,959.94,2907.52,2017.69,404.05,32444.09,545.5,1825.3,52.72,377.88,19.62,1566.09,731.73,89.5,7.95,767.95,0,91.74,42.63,558,439.6,0,117.79,195.62,38.88,934.84,1320.32,256.48,321.64,2.43,306.46,1702.5,190.6,1063.86,762.19,527.95,1109.96,1127.68,454.01,4896.34,97.56,222.71,0,1373.09,796.54,210.23,30.03,0,1118.8,701.93,181.08,111.61,96.12,111.58,4947.05,1539.73,488.29,536.95,86.4,428.09,15421.33,10984.46,76.65,1107.46,1504.13,1588.35,160.28,27470.85,484.16,1582.93,354.76,135.48,17.86,281.44,3707.34,0,1268.73,141.47,96.46,610.02,92.29,1.2,160.03,3399.82,177.58,1370.33,4142.21,1059.7,4776.16,208.41,1822.37,811.53,140.04,54.63,339.11,168.29,66.5
"18",2011,35613.57,156.67,157.08,2273.77,1324.38,102.98,297.25,396.77,196.67,2024.21,1159.9,244.31,1130.39,47.33,48.95,1495.11,1795.96,383.22,117.79,83.4,107.17,238.75,801.65,462.05,624.5,8.12,626.22,1886.69,695.53,515.68,532.85,180.7,71.93,71.81,11.07,2101.69,90.14,694.19,144.19,2131.46,216.25,628.7,583.4,320.2,58.52,136.66,281.96,1131.78,1341.59,687.32,15.27,710.44,364.49,86.2,49.42,204.19,961.04,218.73,31.79,153.87,1231.42,767.8,7532.26,623.15,10.08,2509.26,128.77,103.01,71.08,1162.42,14.29,7.22,0,2537.83,25.34,339.81,0,13783.6,71.84,2893.73,5733.45,1527,601.28,187.99,140.33,23.48,766.47,1352.28,441.99,43.76,96027.97,24468.21,74.92,31607.23,2433.13,2161.33,0,0,184.83,0,0,2538.63,1761.13,2588.32,2142.7,112.07,2138.06,8371.44,2298.01,27.53,1576.32,45.97,1532.16,9965.98,17645.12,4007.78,593.92,385.69,820.6,419.01,0,0,118.45,217.15,632.94,133.77,0,120.58,498.15,895.48,431.53,262.31,174,42.31,359.04,83.04,4.21,18.78,98.98,46.89,660.99,76.88,1505.81,494.81,43.46,458.64,656.32,32.22,813.9,1233.75,411.51,198.9,693.32,7580.83,2188.61,7.13,167.01,1000.01,0,0,0,173.14,48.81,2936.29,0,1031.65,28.18,46481.05,10325.13,4790.84,161.46,839.55,0,1388.38,0,2470.49,8291.01,0,102.72,5095.78,2785.69,3559.55,552.78,0,0,0,536.41,379.51,1556.42,503.59,2789.17,282.51,70.06,7750.92,254.4,10.84,944.38,0,750.18,3008.99,2258.77,523.36,33194.28,652.04,2040.82,65.52,340.81,2.87,1644.95,702.06,166.9,11.78,702.93,0,59.98,71.35,618.47,119.58,0,112.34,194.29,46.72,862.46,1407.26,210.03,369.47,6.12,356.73,1954.13,188.28,1119.76,779.87,483.66,1120.78,1154.32,434.69,5260.4,91.12,180.37,0,1338.66,790.61,208.51,29.79,0,1114.83,697.17,178.9,100.6,89.32,120.83,4992.2,1468.01,438.86,551.97,86.81,390.37,16182.08,11250.99,81.79,1171.36,1933.54,1606.66,137.74,26683.43,488.99,1518.78,353.29,132.36,16.1,251.76,3538.9,0,1092.85,116.53,69.42,622.03,129.61,1.26,196.94,3555.3,268.61,1364.03,3961.44,977.33,4370.37,201.81,1778.7,685.95,151.46,54.12,443.72,271.83,69.94
"19",2012,36111.45,149.51,194.02,2303.54,1343.93,117.18,315.06,402.1,205.8,2087.19,1200.45,247.69,1187.77,63.54,40.72,1504.94,1830.59,418.59,124.11,91.43,114.46,243.32,793.72,478.17,635.1,8.9,666.46,1894.81,733.47,553.45,560.15,177.05,80.16,78.37,11.76,2124.56,83.01,749.67,153.92,2231.07,223.85,653.69,603.15,326.46,61.83,151.35,277.25,1144.18,1284.35,700.95,16.31,734.36,385.26,89.18,55.6,225.94,1042.73,194.82,39.46,129.91,952.47,618.61,7247.62,597.82,9.35,2411.13,119.43,96.29,83.3,1168.76,13.7,9.25,0,2338.15,23.12,377.32,0,14622.11,68.25,3072.66,6098.08,1554.74,530.09,166.65,146.1,31.2,955.27,1495.62,467.05,36.4,96016.91,25663.46,80.86,32030.44,1977.19,1999.45,0,0,180.58,0,0,1475,1850.81,2375.64,2292.28,162.58,2062.73,8051.23,2468.6,27.29,1338.6,19.21,1467.13,10493.83,17861.66,3755.5,689.93,293.43,815.05,608.39,0,0,100.64,300.36,747.47,110.7,0,119.2,499.14,963.44,428.73,224.66,200.33,126.63,242.13,109.77,22.08,15.29,100.14,64.13,698.7,69.77,1498.08,627.62,46.56,430.7,630.87,20.77,872.75,1180.21,378.15,187.75,682.59,7586.68,2118.54,7.85,275.02,989.54,0,4.12,0,172.75,53.49,2900.61,0,1029.91,34.85,44592.5,8975.07,4191.15,320.39,1182.74,0,1238.2,0,2535.41,8367.45,0,88.2,4807.8,2726.35,3441.48,529.91,0,0,0,558.97,376.07,1630.74,399.61,2866.16,306.36,50.44,8019.39,214.24,5.02,1244.19,0,611.54,2932.19,2499.75,512.46,30884,449.02,1727.59,48.15,369.27,3.59,1555.06,599.54,182,15.2,593.54,0,40.7,64.36,321.6,135.31,0,7.76,132.18,37.87,664.68,1351.82,250.23,348.92,10.14,322.23,1805.97,133.21,1107.78,688.12,509.86,1224.92,1178.11,452.79,5294.32,74.86,163.91,0,1330.35,716.37,191.35,27.34,0,1071.38,655.41,158.61,101.65,108.08,285.23,4373.62,1644.24,532.96,545.11,127.82,438.35,17278.45,12037.45,77.56,1164,2145.59,1763.4,90.45,28903.14,469.28,1311.3,386.58,147.94,21.23,243.61,3583.11,0,982.43,111.16,36.37,646.23,106.2,0,150.73,3495.7,263.02,1102.15,5058.6,1282.88,5424.76,254.35,2274.89,811.86,125.41,50.98,253.97,226.64,81.76
