"","aar","kod_fisk_mej","ovr_fode","bol","ene_hje","ene_tra","tra","ovr_var","ovr_tje","ialt"
"1",1994,9710.92,23606.84,39568.13,12543.3,6218.09,27490.4,42837.24,35345,197319.92
"2",1995,10408.38,24017.9,39435.22,11998.69,6537.86,23800.44,42153.99,38082.11,196434.59
"3",1996,10830.15,24272.86,40812.43,11909.79,7268.36,27378.97,44634.19,38816.93,205923.68
"4",1997,11487.43,26434.6,44443.97,14184,6264.71,30638.6,47418.79,41974.52,222846.62
"5",1998,11167.15,26740.84,47587.95,14945.07,6821.09,35740.57,50616.78,45145.2,238764.65
"6",1999,12107.79,29436.73,47630.16,15497.25,8656.81,33401.01,54616.93,52940.13,254286.81
"7",2000,13767.77,29304.47,50627.2,16571.03,9516.33,29089.45,54657.9,53209.2,256743.35
"8",2001,12852.97,28275.59,53616.62,19114.54,9434.47,22057.37,55157.38,53170.51,253679.45
"9",2002,12260.57,26537.36,53775.1,19052.65,8269.41,23717.9,53431,52244.28,249288.27
"10",2003,12350.93,28162.1,56873.65,19001.15,9605.12,24913.62,55743.88,57258.07,263908.52
"11",2004,12846.07,26921.3,58826.78,19540.26,10591.55,33322.91,58583.25,59502.95,280135.07
"12",2005,14982.06,29398.94,64006.77,21389.69,13159.23,39248.54,68634.48,66379.87,317199.58
"13",2006,13949.09,29982.39,60769.46,24190.21,14899.6,49500.26,69758.64,63097.75,326147.4
"14",2007,15709.43,30520.7,59631.38,24660.71,13756.64,51987.21,68564.41,69728.09,334558.57
"15",2008,16031.69,34114.32,66007.66,25146.77,14315.18,42994.39,72420.47,76048.96,347079.44
"16",2009,15275.82,31689.41,69162.59,21687.34,11983.45,35243.73,65302.46,74485.34,324830.14
"17",2010,16101.2,34101.23,73507.84,26321.57,13068.36,45795.67,74026.94,78362.35,361285.16
"18",2011,16273.16,32308.18,78062.21,27553.05,12900.02,45430.11,70151.04,76686.7,359364.47
"19",2012,16931.14,31214,76452.9,26771.26,12930.41,36562.13,62415.96,79086.3,342364.1
"20",2013,17013.97,31049.24,79996.43,27050.23,11928.7,41092.89,61811.35,81126.42,351069.23
"21",2014,17667.95,30193.38,73773.63,26574.94,12330.59,36745.92,56320.94,79707.1,333314.45
"22",2015,16737.39,31245.5,75208.84,22259.22,10543.71,44992.1,58389.22,83557.54,342933.52
"23",2016,16747.24,33272.07,80817.94,21159.18,8094.24,40060.34,59355.55,86223.14,345729.7
"24",2017,16121.06,30341.22,77932.02,25891.77,8911.35,39473.61,51015.86,84365.19,334052.08
"25",2018,17346.24,32369.85,82919.31,26644.45,9926.44,46172.3,54273.73,89712,359364.32
"26",2019,17018.37,35656.72,82304.25,25402.98,10032.83,37435.72,61028.26,89363.32,358242.45
