"","aar","kod_fisk_mej","ovr_fode","bol","ene_hje","ene_tra","tra","ovr_var","ovr_tje","ialt"
"1",1994,8703.85,19423.78,33859.16,10884.59,3385.19,14377.76,30116.49,25906.51,146657.33
"2",1995,9068.2,20313.1,33889.22,11045.82,3258.17,14548.46,31716.17,26863.59,150702.73
"3",1996,9809.56,21989.74,34270.94,13195.69,4248.96,15101.03,35913.01,28582.28,163111.21
"4",1997,9732.77,21969.73,34572.74,12593.83,4274.28,13726.94,32579.63,29208.84,158658.76
"5",1998,9169.25,20860.92,36731.75,13031.57,3347.34,14251.12,28375.89,28807.94,154575.78
"6",1999,9001.69,20432.15,39986.07,12736.12,3460.55,11496,28149.62,28587.99,153850.19
"7",2000,9753.09,21742.96,40458.57,14139.16,4448.64,10682.83,31102.86,31073.41,163401.52
"8",2001,10107.18,21976.01,39504.75,15746.28,4846.68,9901.47,31767.2,31922.58,165772.15
"9",2002,9840.89,21622.9,40059.2,17990.1,4792.42,11833.24,31635.83,33386.77,171161.35
"10",2003,9601.87,21709.56,44100.98,15494.44,5583.1,13320.59,34153.19,37019.22,180982.95
"11",2004,10239.06,20313.26,45214.72,15402.73,5691.72,17531.88,34563.17,38770.93,187727.47
"12",2005,10337.46,22085.02,48677.77,16023.09,6988.59,22726.88,40435.1,43674.98,210948.89
"13",2006,10886.19,22160.16,46056.72,17125.19,6986.64,16702.14,40695.2,43883.16,204495.4
"14",2007,11177.96,22169.2,48946.79,18445.19,7240.06,27353.67,47694.19,47429.83,230456.89
"15",2008,11824.98,23954.03,52818.97,19014.2,6651.61,21479.83,42068.8,51642.44,229454.86
"16",2009,10961.54,22078.51,55884.45,18784.71,5202.07,15273.98,34865.91,47624.27,210675.44
"17",2010,11676.62,22119.75,58878.26,23410.69,6490.41,20471.84,34019.32,48144.35,225211.24
"18",2011,11515.38,22744.74,58916.4,21482.82,7289.48,24893.68,37766.79,50313.6,234922.89
"19",2012,12081.59,22477.87,57434.92,22578.68,8496.34,21114.14,38467.83,53357.2,236008.57
"20",2013,11950.93,22973.31,56465.15,22422.27,6694.68,19266.69,39306.34,50310.06,229389.43
"21",2014,12238.34,21867.45,58389.16,20100.07,6223.47,16693.81,33553.78,48003.99,217070.07
"22",2015,11999.13,22596.91,55122.1,19200.05,5531.69,16889.08,36298.47,46746.9,214384.33
"23",2016,10991.13,21190.13,54212.62,20224.16,4913.58,24387.53,36416.72,54598.19,226934.06
"24",2017,10946.9,21813.37,55697.52,22837.24,4836.61,19848.06,31595.13,54634.75,222209.58
"25",2018,11947.64,24862.31,56471.9,20437.94,5629.31,19156.85,34981.99,56058.82,229546.76
"26",2019,11610.34,24079.09,62947.63,20516.42,4242.18,20281.34,34839.21,55401.13,233917.34
